task,mean,std,min,max,count,random_minus_patient,share_of_gap,n_positive,leak_realised_in_shipped_split,fold_structure
IDC,0.0652,0.0294,0.0302,0.1096,6,0.121,0.5385,6,True,"folds 0-3 are four single slides, so TENX95 and TENX99 sit in different folds and each is in the other's training set"
READ,0.0901,0.0383,0.0326,0.1503,12,0.1834,,12,False,"fold 0 holds out ZEN48+ZEN49 together and fold 1 ZEN36+ZEN40 together, so neither replicate is ever in its partner's training set"
