,dataset,gigapath_mean,gigapath_std
0,IDC,0.5515,0.07275695843010482
1,PRAD,0.36985,0.021449999999999997
2,PAAD,0.4746666666666666,0.04799898147067519
3,SKCM,0.56205,0.061450000000000005
4,COAD,0.29925,0.021150000000000002
5,READ,0.1961,0.06180000000000001
6,CCRCC,0.24295000000000003,0.03272729492844365
7,LUNG,0.54105,0.036250000000000004
8,LYMPH_IDC,0.25,0.05036134430294728
9,HCC,0.0708,0.0131
