task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched
IDC,audited,resnet50,slide_out,abs,4,0.8446383313365026,0.06051255251872391,4.831186517888442,0.3980144547268529,7.769246114314959,0.10446795024309252,0.050893718420404896,slide,7015
IDC,audited,resnet50,slide_out,scaled,4,0.848886066877806,0.0699459170360809,67.64045919644494,51.13428706755348,70.63862552745793,0.10401699590001415,0.04709693722217988,slide,7015
PRAD,shipped,resnet50,slide_out,abs,23,0.8966491511100932,0.07824584717091089,2.092841040773609,0.11110627609457771,2.8499766093027463,0.06455341084824,0.03879743804166686,slide,39667
PRAD,shipped,resnet50,slide_out,scaled,23,0.898864885557131,0.04321921526654479,1.984459480700805,0.4514633381088605,2.7022775458885353,0.08921516544833785,0.01191994899453125,slide,39667
READ,shipped,resnet50,slide_out,abs,4,0.8172423570887895,0.15068457971806742,1.777340419407865,0.2935535015861734,3.482024595174351,0.08632724926729055,0.09643039364391998,slide,3819
READ,shipped,resnet50,slide_out,scaled,4,0.848119451655951,0.1098373023888298,10.673389312634338,9.827770841547842,11.944403166914245,0.08767736439749699,0.06420318394655192,slide,3819
