task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes,superseded_label_set
CCRCC,shipped,resnet50,donor,abs,INT2,-1,2,donor,INT2,0.9523100775193798,2.263710088352978,2.4485320418459353,0.022472868217054263,0.02521705426356589,2580,50,False
CCRCC,shipped,resnet50,donor,abs,INT20,-1,0,donor,INT20,0.9669588477366255,2.202159314056539,2.3497829558234797,0.02241152263374486,0.01062962962962963,4860,50,False
CCRCC,shipped,resnet50,donor,abs,INT20,-1,1,donor,INT20,0.9592674897119342,1.9816533598444985,2.149858199921542,0.027559670781893003,0.01317283950617284,4860,50,False
CCRCC,shipped,resnet50,donor,abs,INT20,-1,2,donor,INT20,0.9610246913580247,1.9959583044015576,2.1575254274621596,0.026448559670781892,0.012526748971193415,4860,50,False
CCRCC,shipped,resnet50,donor,abs,INT21,-1,0,donor,INT21,0.8992241206030152,2.1083690806745183,2.7550160248674764,0.08059899497487438,0.020176884422110554,4975,50,False
CCRCC,shipped,resnet50,donor,abs,INT21,-1,1,donor,INT21,0.9550633165829145,2.62764354784216,2.9030701886874732,0.03819899497487437,0.006737688442211055,4975,50,False
CCRCC,shipped,resnet50,donor,abs,INT21,-1,2,donor,INT21,0.9077909547738693,2.151621277981555,2.764292765371528,0.06705125628140704,0.02515778894472362,4975,50,False
CCRCC,shipped,resnet50,donor,abs,INT22,-1,0,donor,INT22,0.8277670410028728,1.9997007723598745,3.0616760855364293,0.08388613214938627,0.08834682684774092,3829,50,False
CCRCC,shipped,resnet50,donor,abs,INT22,-1,1,donor,INT22,0.8968869156437712,2.0610207312172717,2.829982933853076,0.09242099764951683,0.010692086706711934,3829,50,False
CCRCC,shipped,resnet50,donor,abs,INT22,-1,2,donor,INT22,0.8580151475581091,2.0279459420745396,3.1408256096306943,0.12037607730477932,0.021608775137111517,3829,50,False
CCRCC,shipped,resnet50,donor,abs,INT23,-1,0,donor,INT23,0.8249211356466877,1.950818278149442,3.352896134816029,0.1517981072555205,0.0232807570977918,4755,50,False
CCRCC,shipped,resnet50,donor,abs,INT23,-1,1,donor,INT23,0.8800294426919032,2.45182634230963,3.5958513687933307,0.11770767613038906,0.002262881177707676,4755,50,False
CCRCC,shipped,resnet50,donor,abs,INT23,-1,2,donor,INT23,0.888664563617245,2.5197585464226355,3.5282223357127265,0.10831545741324922,0.0030199789695057834,4755,50,False
CCRCC,shipped,resnet50,donor,abs,INT24,-1,0,donor,INT24,0.9276984478935698,2.241048594090866,2.9359885039014477,0.06243015521064302,0.00987139689578714,4510,50,False
CCRCC,shipped,resnet50,donor,abs,INT24,-1,1,donor,INT24,0.9180044345898004,2.0829202955775266,2.821829993023171,0.07191130820399114,0.010084257206208426,4510,50,False
CCRCC,shipped,resnet50,donor,abs,INT24,-1,2,donor,INT24,0.92270066518847,2.112638562912195,2.8552946531723147,0.06860753880266075,0.00869179600886918,4510,50,False
CCRCC,shipped,resnet50,donor,abs,INT3,-1,0,donor,INT3,0.9411958146487295,2.25507071909243,2.544852797791982,0.043238664673642256,0.0155655206776283,2007,50,False
CCRCC,shipped,resnet50,donor,abs,INT3,-1,1,donor,INT3,0.9773492775286498,2.635608931071088,2.719833736860772,0.012815146985550571,0.009835575485799702,2007,50,False
CCRCC,shipped,resnet50,donor,abs,INT3,-1,2,donor,INT3,0.9529247633283507,2.3185926240501558,2.536513242816261,0.03765819631290483,0.009417040358744395,2007,50,False
CCRCC,shipped,resnet50,donor,abs,INT4,-1,0,donor,INT4,0.9197034840622683,2.2943440454060693,2.7028827440717054,0.009014084507042254,0.07128243143068941,1349,50,False
CCRCC,shipped,resnet50,donor,abs,INT4,-1,1,donor,INT4,0.9327946627131208,2.144667278364472,2.4698471568342826,0.015374351371386213,0.05183098591549296,1349,50,False
CCRCC,shipped,resnet50,donor,abs,INT4,-1,2,donor,INT4,0.870407709414381,2.0164380215522963,2.715158999919245,0.014351371386212008,0.11524091919940696,1349,50,False
CCRCC,shipped,resnet50,donor,abs,INT5,-1,0,donor,INT5,0.2454300168634064,1.9489182574019455,18.609246914147985,0.7489544688026981,0.005615514333895447,1186,50,False
CCRCC,shipped,resnet50,donor,abs,INT5,-1,1,donor,INT5,0.2845531197301855,2.0943164076650898,16.420289390794483,0.7125801011804385,0.002866779089376054,1186,50,False
CCRCC,shipped,resnet50,donor,abs,INT5,-1,2,donor,INT5,0.2598650927487352,1.9632202233428329,17.756836473542748,0.7340809443507588,0.006053962900505903,1186,50,False
CCRCC,shipped,resnet50,donor,abs,INT6,-1,0,donor,INT6,0.9083432657926103,2.4625218734725873,2.8793922266879908,0.019570917759237187,0.07208581644815255,1678,50,False
CCRCC,shipped,resnet50,donor,abs,INT6,-1,1,donor,INT6,0.9097735399284863,2.331472173826172,2.9285919706698267,0.08477949940405244,0.005446960667461264,1678,50,False
CCRCC,shipped,resnet50,donor,abs,INT6,-1,2,donor,INT6,0.8015733015494636,2.0237218840257656,3.1598704036448417,0.021573301549463644,0.1768533969010727,1678,50,False
CCRCC,shipped,resnet50,donor,abs,INT7,-1,0,donor,INT7,0.8433445661331086,2.03925710550559,3.3743850991621414,0.1415838247683235,0.015071609098567817,2374,50,False
CCRCC,shipped,resnet50,donor,abs,INT7,-1,1,donor,INT7,0.8310193765796124,1.9382961825255642,3.163689682049041,0.12090985678180287,0.048070766638584665,2374,50,False
CCRCC,shipped,resnet50,donor,abs,INT7,-1,2,donor,INT7,0.8365206402695873,2.1141799533017602,3.544162793544715,0.15403538331929234,0.00944397641112047,2374,50,False
CCRCC,shipped,resnet50,donor,abs,INT8,-1,0,donor,INT8,0.7085479733196511,2.032509456778159,4.956135476088239,0.2794869163673679,0.011965110312981015,1949,50,False
CCRCC,shipped,resnet50,donor,abs,INT8,-1,1,donor,INT8,0.7529502308876347,2.13686742023073,4.439746816323948,0.23785531041559774,0.009194458696767573,1949,50,False
CCRCC,shipped,resnet50,donor,abs,INT8,-1,2,donor,INT8,0.7040533606977938,1.975962750777366,4.968389769810631,0.2836121087737301,0.012334530528476141,1949,50,False
CCRCC,shipped,resnet50,donor,abs,INT9,-1,0,donor,INT9,0.948997641509434,2.6607176599340714,2.924827960782025,0.013148584905660378,0.03785377358490566,1696,50,False
CCRCC,shipped,resnet50,donor,abs,INT9,-1,1,donor,INT9,0.7382547169811321,2.1200385823759245,4.336659037776233,0.013714622641509433,0.2480306603773585,1696,50,False
CCRCC,shipped,resnet50,donor,abs,INT9,-1,2,donor,INT9,0.9113207547169812,2.1744010462837817,2.6075009235943853,0.03992924528301887,0.04875,1696,50,False
CCRCC,shipped,resnet50,donor,scaled,INT1,-1,0,donor,INT1,0.9076568265682657,2.4173310188039103,2.690300892619364,0.007084870848708486,0.08525830258302584,1084,50,False
CCRCC,shipped,resnet50,donor,scaled,INT1,-1,1,donor,INT1,0.9636531365313652,2.384565353172442,2.592172881974243,0.03409594095940959,0.002250922509225092,1084,50,False
CCRCC,shipped,resnet50,donor,scaled,INT1,-1,2,donor,INT1,0.9448339483394834,2.7471597460788417,2.9294309581457787,0.01118081180811808,0.04398523985239852,1084,50,False
CCRCC,shipped,resnet50,donor,scaled,INT10,-1,0,donor,INT10,0.8913666162380233,2.3303964670141197,3.0371207892860212,0.09595562279374685,0.012677760968229954,1983,50,False
CCRCC,shipped,resnet50,donor,scaled,INT10,-1,1,donor,INT10,0.7328290468986384,2.2113913989393494,5.038032929134108,0.26673726676752396,0.0004336863338376198,1983,50,False
CCRCC,shipped,resnet50,donor,scaled,INT10,-1,2,donor,INT10,0.7953605648008069,2.085333506126156,4.004510544964079,0.20351991931417046,0.001119515885022693,1983,50,False
CCRCC,shipped,resnet50,donor,scaled,INT11,-1,0,donor,INT11,0.8536066712995135,2.038178999934143,2.9810676422547226,0.10322446143154967,0.04316886726893676,1439,50,False
CCRCC,shipped,resnet50,donor,scaled,INT11,-1,1,donor,INT11,0.9102710215427381,2.3472623400325303,2.941319886662323,0.08011118832522586,0.009617790132036137,1439,50,False
CCRCC,shipped,resnet50,donor,scaled,INT11,-1,2,donor,INT11,0.8335232800555942,1.9295149657752921,3.163174841595187,0.1385406532314107,0.027936066712995134,1439,50,False
CCRCC,shipped,resnet50,donor,scaled,INT12,-1,0,donor,INT12,0.9610751206064784,2.9935628728279364,3.225854244083794,0.010599586492074431,0.02832529290144728,1451,50,False
CCRCC,shipped,resnet50,donor,scaled,INT12,-1,1,donor,INT12,0.9318263266712612,2.384977788425408,2.7582033280314846,0.04464507236388697,0.023528600964851827,1451,50,False
