,dataset,virchow_mean,virchow_std
0,CCRCC,0.2313166666666667,0.03719347687729963
1,LUNG,0.29125,0.05305
2,LYMPH_IDC,0.17062499999999997,0.015193974957199317
3,HCC,0.03165,0.009150000000000002
