task,gene,estimand,n_slides,var_between_raw,mean_within_var,tau2_hat,ratio,mean_estimate
CCRCC,AKAP8,r_hat,24,0.0033082319625249447,0.0007602367211687063,0.0025479952413562383,3.3515813830187313,0.025740426683525285
CCRCC,AKAP8,r_hat_raw,24,0.0027379691929408723,0.0006965159398202051,0.002041453253120667,2.93094979800123,0.025022134818721755
CCRCC,AKAP8,theta2,18,0.06364104084984568,0.004490202165788562,0.059150838684057114,13.173313026913375,0.1361760913074624
CCRCC,BLVRB,r_hat,24,0.003974094607096705,0.0007754902579486504,0.003198604349148054,4.124622219767269,0.019144767259412977
CCRCC,BLVRB,r_hat_raw,24,0.0034091341049396606,0.0007247050685756998,0.0026844290363639608,3.7041676024700747,0.01758436134579752
CCRCC,BLVRB,theta2,18,0.024952842966626178,0.004565090002600969,0.02038775296402521,4.466013364995925,0.1098547708009126
CCRCC,BTF3,r_hat,24,0.00606104066979256,0.0008099298531409324,0.005251110816651628,6.483414330620932,0.012329451314747825
CCRCC,BTF3,r_hat_raw,24,0.005289114573433693,0.0007057294307219581,0.004583385142711735,6.4945359272079,0.010973302530080026
CCRCC,BTF3,theta2,18,0.05621197598723768,0.00756588638894512,0.04864608959829256,6.429661654630672,0.06923395222127272
CCRCC,CD109,r_hat,24,0.00870340165986965,0.0007357012542035499,0.007967700405666099,10.830075876779244,0.049860802370884784
CCRCC,CD109,r_hat_raw,24,0.006821568240004091,0.0006990602233621629,0.006122508016641929,8.758198238193899,0.048375048032515744
CCRCC,CD109,theta2,18,0.0600178951072731,0.004648085167663598,0.05536980993960951,11.912391434824256,0.1895821063462696
CCRCC,CD14,r_hat,24,0.0086954838478954,0.0008020660855568709,0.007893417762338529,9.841355848948737,0.0005573785062903801
CCRCC,CD14,r_hat_raw,24,0.008854815466551176,0.0007391450650788417,0.008115670401472335,10.979807327275692,-0.0020573005077447887
CCRCC,CD14,theta2,18,0.03860903190922133,0.007143152036886981,0.03146587987233435,4.405041319272735,0.006654193581734873
CCRCC,CHST15,r_hat,24,0.004904930552793809,0.0008597584522119511,0.004045172100581858,4.7050099829488214,0.030220346851660168
CCRCC,CHST15,r_hat_raw,24,0.0037870304196251214,0.0008482357636038167,0.0029387946560213048,3.464596497954217,0.028774307120186082
CCRCC,CHST15,theta2,18,0.07898423094181806,0.006993440147492301,0.07199079079432576,10.29404545917793,0.10706845489978734
CCRCC,CIB1,r_hat,24,0.006924406006563755,0.0008162864005737636,0.006108119605989991,7.482814367232659,0.06090929070796655
