check,build,value,status,tolerance
"theta1 IDC/GATA3/NCBI785, log1p",morphology_v2,0.410577,current acceptance value,0.001
"theta1 IDC/GATA3/NCBI785, raw",morphology_v2,0.420947,current acceptance value,0.001
"theta1 IDC/GATA3/NCBI785, raw",morphology (v1),0.457791,historical: round 1's value; this code reproduces it to 6 dp when run on v1,0.001
