encoder,probe,n_classes,n_folds,n_slides,balanced_acc,acc_std,chance,lift,excess,mean_n_train,mean_n_test,confounded,ci_lo,ci_hi,beats_chance_95
resnet50,technology,2,5,72,0.9814422348484848,0.0247502362340434,0.5,1.9628844696969696,0.4814422348484848,46080,11520,yes: Xenium and Visium tasks are different organs,0.9507107575696347,1.0121737121273349,True
resnet50,cohort_source,5,5,72,0.9224889583333334,0.0414754244900753,0.2,4.612444791666667,0.7224889583333334,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.8709904169337882,0.9739874997328787,True
resnet50,idc_institution,2,4,4,0.5428125,0.4257111467518204,0.5,1.085625,0.0428125,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",-0.1345889330492106,1.2202139330492106,False
ctranspath,technology,2,5,72,0.9964223484848486,0.0035449284121402,0.5,1.9928446969696971,0.4964223484848485,46080,11520,yes: Xenium and Visium tasks are different organs,0.9920207384992844,1.0008239584704126,True
ctranspath,cohort_source,5,5,72,0.936625625,0.0528513499265865,0.2,4.683128125,0.7366256249999998,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.8710020065396884,1.0022492434603116,True
ctranspath,idc_institution,2,4,4,0.675,0.3128460583897454,0.5,1.35,0.175,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",0.1771921086774919,1.1728078913225082,False
phikon,technology,2,5,72,0.9979848484848486,0.002424141806624,0.5,1.9959696969696972,0.4979848484848486,46080,11520,yes: Xenium and Visium tasks are different organs,0.994974878877023,1.0009948180926742,True
phikon,cohort_source,5,5,72,0.9334925,0.0512276249530791,0.2,4.6674625,0.7334925000000001,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.8698850023822768,0.997099997617723,True
phikon,idc_institution,2,4,4,0.9103125,0.0861474707623503,0.5,1.820625,0.4103125000000001,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",0.7732326499814111,1.0473923500185889,True
conch_v1,technology,2,5,72,0.9873390151515152,0.009530222767132,0.5,1.9746780303030305,0.4873390151515151,46080,11520,yes: Xenium and Visium tasks are different organs,0.9755056806467056,0.9991723496563248,True
conch_v1,cohort_source,5,5,72,0.9294279166666666,0.0386918660164295,0.2,4.647139583333333,0.7294279166666666,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.8813856196107424,0.9774702137225908,True
conch_v1,idc_institution,2,4,4,0.4603125,0.4469622947953776,0.5,0.920625,-0.0396874999999999,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",-0.25090425183633835,1.1715292518363385,False
conch_v15,technology,2,5,72,0.9871392045454546,0.0143524835383239,0.5,1.9742784090909091,0.4871392045454545,46080,11520,yes: Xenium and Visium tasks are different organs,0.9693182424511056,1.0049601666398036,True
conch_v15,cohort_source,5,5,72,0.9350647916666668,0.0433661719542464,0.2,4.675323958333333,0.7350647916666666,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.8812185772111653,0.9889110061221683,True
conch_v15,idc_institution,2,4,4,0.4912499999999999,0.401692707489195,0.5,0.9825,-0.00875,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",-0.14793273640419896,1.1304327364041988,False
uni_v1,technology,2,5,72,0.9971647727272728,0.0037890071709463,0.5,1.9943295454545455,0.4971647727272728,46080,11520,yes: Xenium and Visium tasks are different organs,0.9924600989341729,1.0018694465203728,True
uni_v1,cohort_source,5,5,72,0.94144375,0.0473704929327787,0.2,4.70721875,0.74144375,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.8826255143482029,1.0002619856517971,True
uni_v1,idc_institution,2,4,4,0.5959375,0.3953631390490899,0.5,1.191875,0.0959375,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",-0.03317348055607239,1.2250484805560724,False
uni_v2,technology,2,5,72,0.9976164772727272,0.0031858706606501,0.5,1.9952329545454544,0.4976164772727273,46080,11520,yes: Xenium and Visium tasks are different organs,0.9936606963704643,1.00157225817499,True
uni_v2,cohort_source,5,5,72,0.9547789583333334,0.0510249192269625,0.2,4.773894791666667,0.7547789583333333,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.891423153117959,1.0181347635487077,True
uni_v2,idc_institution,2,4,4,0.7153125,0.3174241727858009,0.5,1.430625,0.2153125,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",0.2102198070550454,1.2204051929449546,False
gigapath,technology,2,5,72,0.9970625,0.0036042637011412,0.5,1.9941249999999997,0.4970624999999998,46080,11520,yes: Xenium and Visium tasks are different organs,0.9925872155222603,1.0015377844777396,True
gigapath,cohort_source,5,5,72,0.9425683333333332,0.0439262938214559,0.2,4.712841666666667,0.7425683333333333,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.8880266357207109,0.9971100309459555,True
gigapath,idc_institution,2,4,4,0.7956249999999999,0.2393570489352674,0.5,1.5912499999999998,0.2956249999999999,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",0.41475452198617324,1.1764954780138266,False
virchow,technology,2,5,72,0.9982234848484848,0.0009890934157722,0.5,1.9964469696969696,0.4982234848484849,46080,11520,yes: Xenium and Visium tasks are different organs,0.9969953631632601,0.9994516065337095,True
virchow,cohort_source,5,5,72,0.9285739583333332,0.0449380961654938,0.2,4.642869791666667,0.7285739583333333,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.872775942176821,0.9843719744898455,True
virchow,idc_institution,2,4,4,0.6603125000000001,0.3481282259724856,0.5,1.3206250000000002,0.1603125,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",0.10636280674444587,1.2142621932555544,False
virchow2,technology,2,5,72,0.9953049242424242,0.0050487008890872,0.5,1.9906098484848485,0.4953049242424242,46080,11520,yes: Xenium and Visium tasks are different organs,0.9890361341107453,1.001573714374103,True
virchow2,cohort_source,5,5,72,0.9585664583333332,0.0426966666199059,0.2,4.792832291666667,0.7585664583333334,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.9055515445480876,1.0115813721185787,True
virchow2,idc_institution,2,4,4,0.9046875,0.1557451218136542,0.5,1.809375,0.4046875000000001,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",0.6568622562590876,1.1525127437409124,True
hoptimus0,technology,2,5,72,0.9982651515151516,0.0018611715538647,0.5,1.996530303030303,0.4982651515151515,46080,11520,yes: Xenium and Visium tasks are different organs,0.9959542018022368,1.0005761012280663,True
hoptimus0,cohort_source,5,5,72,0.9329620833333332,0.0495867831853072,0.2,4.664810416666667,0.7329620833333332,46080,11520,"yes: INT/MEND/ZEN each occur in one task only, so tissue is a proxy",0.8713919598654014,0.994532206801265,True
hoptimus0,idc_institution,2,4,4,0.7484375000000001,0.2657439072090835,0.5,1.4968750000000002,0.2484375000000001,2400,800,"no: same tissue, same 541-gene Xenium assay, differs only by source",0.325579642175398,1.1712953578246021,False
