encoder,task,n_spots,n_slides,chance,acc_random,acc_block,drop,test_frac_random,test_frac_block,nn_dist_random,nn_dist_block,nn_dist_ratio,slides_in_block_test
resnet50,CCRCC,74220,24,0.041666666666666664,0.9690152687672877,0.9471540267587835,0.021861242008504256,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
resnet50,COAD,15651,4,0.25,0.9946236990889861,0.985420684361535,0.009203014727451109,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
resnet50,HCC,4196,2,0.5,0.9961866837218982,0.9962669619031397,-8.027818124145547e-05,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
resnet50,IDC,35536,4,0.25,0.9959412796288415,0.9862588404996581,0.009682439129183429,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
resnet50,LUNG,5206,2,0.5,0.9893807697496483,0.9864119963533492,0.0029687733962990848,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
resnet50,LYMPH_IDC,19964,4,0.25,0.9622709959089838,0.9406944744656524,0.021576521443331442,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
resnet50,PAAD,7571,3,0.3333333333333333,0.9891260844765047,0.9847355769230769,0.004390507553427847,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
resnet50,PRAD,62710,23,0.043478260869565216,0.9353374561960035,0.9029973673354704,0.03234008886053308,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
resnet50,READ,8407,4,0.25,0.9827758037331435,0.970839099734286,0.0119367039988576,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
resnet50,SKCM,3034,2,0.5,1.0,0.9991181657848325,0.0008818342151675207,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
