task,design,score,n_encoders,coverage_shipped,coverage_audited,mean_audited_minus_shipped,sd_across_encoders,n_encoders_audited_higher,min_diff,max_diff
IDC,patient,abs,12,0.8195404663709688,0.8206725099176264,0.001132043546657635,0.002100467546626649,9,-0.0019875954383394845,0.005094633871583265
IDC,patient,scaled,12,0.8210367641706967,0.8268473290685279,0.00581056489783117,0.009422859760562452,10,-0.013138406792487567,0.018239165460770423
IDC,donor,abs,12,0.8275246169031287,0.832674297820607,0.005149680917478343,0.009270297870115065,9,-0.00548598349063667,0.022270144652401846
IDC,donor,scaled,12,0.8309208164396581,0.8217288012520064,-0.009192015187651614,0.016426920808430587,5,-0.03461522943465445,0.017915261822712525
