calibration_unit,n_cells,coverage_mean,coverage_sd,shortfall_from_nominal,width_mean,designs,tasks
donor,72,0.8505613912357429,0.02755498708525109,0.0494386087642571,3.3547716668351275,donor,CCRCC;COAD;IDC;LYMPH_IDC;PAAD
slide,84,0.8488568483554474,0.03401691683218197,0.05114315164455263,2.2833163823707827,donor;patient;slide_out,IDC;PRAD;READ
patient,60,0.8338801976682838,0.025565907807157374,0.06611980233171622,3.2174279958896883,patient,CCRCC;IDC;LYMPH_IDC;PAAD
block;slide,12,0.7206847690903608,0.017280759621904108,0.1793152309096392,2.5391895092035326,patient,COAD
block,72,0.685933032051579,0.057136525474719625,0.21406696794842106,2.1041543391021853,donor;patient,HCC;LUNG;SKCM
