source,task,label_set,encoder,design,score,coverage,aggregation,src
A1_slide_mean,IDC,audited,hoptimus0,random,abs,0.88079734612336,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus0__main.csv
A1_slide_mean,IDC,shipped,hoptimus0,random,abs,0.8811164512607371,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus0__main.csv
A1_slide_mean,LUNG,shipped,hoptimus0,random,abs,0.8996631838535185,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus0__main.csv
A1_slide_mean,LYMPH_IDC,shipped,hoptimus0,random,abs,0.9001726424266909,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus0__main.csv
A1_slide_mean,PAAD,shipped,hoptimus0,random,abs,0.8921378292639227,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus0__main.csv
A1_slide_mean,PRAD,shipped,hoptimus0,random,abs,0.9040381527772978,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus0__main.csv
A1_slide_mean,READ,shipped,hoptimus0,random,abs,0.8974738054348392,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus0__main.csv
A1_slide_mean,SKCM,shipped,hoptimus0,random,abs,0.8998816936585801,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus0__main.csv
A1_slide_mean,CCRCC,shipped,hoptimus1,random,abs,0.8800171154994084,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,COAD,shipped,hoptimus1,random,abs,0.8964544736819955,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,HCC,shipped,hoptimus1,random,abs,0.9022824701121387,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,IDC,audited,hoptimus1,random,abs,0.8791068590731302,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,IDC,shipped,hoptimus1,random,abs,0.8797062485948728,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,LUNG,shipped,hoptimus1,random,abs,0.8985755180332298,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,LYMPH_IDC,shipped,hoptimus1,random,abs,0.9004540055805839,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,PAAD,shipped,hoptimus1,random,abs,0.8930957915318293,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,PRAD,shipped,hoptimus1,random,abs,0.9040396150917774,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,READ,shipped,hoptimus1,random,abs,0.8978127605216932,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,SKCM,shipped,hoptimus1,random,abs,0.9021843060196597,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv
A1_slide_mean,CCRCC,shipped,phikon,random,abs,0.8842605065214632,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,COAD,shipped,phikon,random,abs,0.8960975638844562,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,HCC,shipped,phikon,random,abs,0.9014147144766308,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,IDC,audited,phikon,random,abs,0.8780813301389969,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,IDC,shipped,phikon,random,abs,0.8794295654253101,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,LUNG,shipped,phikon,random,abs,0.9002475248024884,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,LYMPH_IDC,shipped,phikon,random,abs,0.8999964633323827,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,PAAD,shipped,phikon,random,abs,0.8927385091429256,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,PRAD,shipped,phikon,random,abs,0.9040939244456504,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,READ,shipped,phikon,random,abs,0.8976442699937469,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,SKCM,shipped,phikon,random,abs,0.9028102846338104,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__phikon__main.csv
A1_slide_mean,CCRCC,shipped,resnet50,random,abs,0.876716603355039,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,COAD,shipped,resnet50,random,abs,0.8958272502553728,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,HCC,shipped,resnet50,random,abs,0.9031657999022847,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,IDC,audited,resnet50,random,abs,0.8719710781246354,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,IDC,shipped,resnet50,random,abs,0.8724520074944069,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,LUNG,shipped,resnet50,random,abs,0.9000702352567751,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,LYMPH_IDC,shipped,resnet50,random,abs,0.9006056784168988,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,PAAD,shipped,resnet50,random,abs,0.8942289550941142,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,PRAD,shipped,resnet50,random,abs,0.902768414562588,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,READ,shipped,resnet50,random,abs,0.8973443379260855,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,SKCM,shipped,resnet50,random,abs,0.9032441711261694,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__resnet50__main.csv
A1_slide_mean,CCRCC,shipped,uni_v1,random,abs,0.8821303812865633,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,COAD,shipped,uni_v1,random,abs,0.8961115890578597,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,HCC,shipped,uni_v1,random,abs,0.9019500622485861,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,IDC,audited,uni_v1,random,abs,0.8785766299137836,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,IDC,shipped,uni_v1,random,abs,0.8796286926558137,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,LUNG,shipped,uni_v1,random,abs,0.8996847436132023,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,LYMPH_IDC,shipped,uni_v1,random,abs,0.900156749646208,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,PAAD,shipped,uni_v1,random,abs,0.8923852875234145,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,PRAD,shipped,uni_v1,random,abs,0.9033154493735363,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,READ,shipped,uni_v1,random,abs,0.8973984971169396,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,SKCM,shipped,uni_v1,random,abs,0.9014780937251159,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v1__main.csv
A1_slide_mean,CCRCC,shipped,uni_v2,random,abs,0.8830176250299325,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,COAD,shipped,uni_v2,random,abs,0.896467435139279,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,HCC,shipped,uni_v2,random,abs,0.9027833142043387,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,IDC,audited,uni_v2,random,abs,0.8796858165272499,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,IDC,shipped,uni_v2,random,abs,0.8801715514576326,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,LUNG,shipped,uni_v2,random,abs,0.8992439974166635,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,LYMPH_IDC,shipped,uni_v2,random,abs,0.9003375794646522,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,PAAD,shipped,uni_v2,random,abs,0.8929673164919537,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,PRAD,shipped,uni_v2,random,abs,0.9040820755298465,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,READ,shipped,uni_v2,random,abs,0.8978120561369487,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,SKCM,shipped,uni_v2,random,abs,0.8998869101662084,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__uni_v2__main.csv
A1_slide_mean,CCRCC,shipped,virchow2,random,abs,0.8833234920413683,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,COAD,shipped,virchow2,random,abs,0.8960190485050974,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,HCC,shipped,virchow2,random,abs,0.902570049063143,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,IDC,audited,virchow2,random,abs,0.8795403996133749,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,IDC,shipped,virchow2,random,abs,0.8806649725250378,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,LUNG,shipped,virchow2,random,abs,0.9002885299306587,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,LYMPH_IDC,shipped,virchow2,random,abs,0.9002012716584682,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,PAAD,shipped,virchow2,random,abs,0.8929206818742674,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,PRAD,shipped,virchow2,random,abs,0.9037817434866037,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,READ,shipped,virchow2,random,abs,0.8968715691660853,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
A1_slide_mean,SKCM,shipped,virchow2,random,abs,0.9017292984511649,"per slide, then genes, then folds",results/round3/A1_coverage/a1_by_task__virchow2__main.csv
