design,n_encoders,corr_benchmark_pearson_vs_coverage,benchmark_pearson_min,benchmark_pearson_max,coverage_min,coverage_max,coverage_range
random,12,0.7395861496470978,0.3252,0.4229,0.8925813210467609,0.8943555505741154,0.0017742295273545095
patient,12,0.197135111643623,0.3252,0.4229,0.7794773692378577,0.7948935341710719,0.015416164933214183
donor,12,-0.037437800196945877,0.3252,0.4229,0.7966960150355717,0.8115509751787205,0.014854960143148799
slide_out,12,0.6025610006500612,0.3252,0.4229,0.851745810476695,0.8634681047686332,0.011722294291938273
