scope,cal_shares_donor_with_test,n_folds,coverage_mean,coverage_sd,n_folds_flag_varied_across_draws_excluded
ALL,true,216,0.9223341432119995,0.05500776110718902,120
ALL,false,36,0.7794521545405562,0.09293731744709373,120
IDC,false,24,0.7971693032394057,0.10000055459792283,
PRAD,true,216,0.9223341432119995,0.05500776110718902,
READ,false,12,0.7440178571428572,0.06722006813743248,
