task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
PRAD,shipped,gigapath,slide_out,scaled,MEND160,slide,3,0.9590716678924572,0.00441364797090751,0.06103056783424894,False
PRAD,shipped,gigapath,slide_out,scaled,MEND161,slide,3,0.7851891891891892,0.07125857140058382,0.2793824109690078,False
PRAD,shipped,gigapath,slide_out,scaled,MEND162,slide,3,0.9035032579532388,0.04266572132295932,0.15916008495346756,False
READ,shipped,gigapath,slide_out,abs,ZEN36,slide,3,0.7762546816479401,0.029767128875548006,0.19911216999618114,False
READ,shipped,gigapath,slide_out,abs,ZEN40,slide,3,0.8119548872180452,0.0014845162078280037,0.02292434570850071,False
READ,shipped,gigapath,slide_out,abs,ZEN48,slide,3,0.9349014675052411,0.019034606867146413,0.13680009311803557,False
READ,shipped,gigapath,slide_out,abs,ZEN49,slide,3,0.9089665607504918,0.026837914307428837,0.2479678273894615,False
READ,shipped,gigapath,slide_out,scaled,ZEN36,slide,3,0.7971062487679874,0.005578890241607634,0.27019673964844826,False
READ,shipped,gigapath,slide_out,scaled,ZEN40,slide,3,0.9220708020050127,0.0026816914511440795,0.05803213006941311,False
READ,shipped,gigapath,slide_out,scaled,ZEN48,slide,3,0.9174116002795248,0.028747540066578755,0.46985839722318207,False
READ,shipped,gigapath,slide_out,scaled,ZEN49,slide,3,0.8988318958995309,0.0322970389933081,4.2872852893853945,False
