task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched
CCRCC,shipped,hoptimus1,donor,abs,24,0.8638166688155122,0.14500232786704198,2.156320071903258,0.12073483834411147,3.529366063376535,0.09417585102816621,0.04200748015632153,donor,35996
CCRCC,shipped,hoptimus1,donor,scaled,24,0.8766737843975196,0.12485597257355484,2.19770130952706,0.26838830847464734,3.360392870243791,0.10034380041770012,0.02298241518478017,donor,35996
CCRCC,shipped,hoptimus1,patient,abs,6,0.859206598276379,0.09566732349724316,2.2451748356795322,0.24349320207717684,3.667231478642524,0.08842146644572219,0.05237193527789885,patient,35996
CCRCC,shipped,hoptimus1,patient,scaled,6,0.8746048557508419,0.056697992535982684,2.261845312672174,0.10199330024169866,3.4772089952397547,0.09669678663057989,0.02869835761857825,patient,35996
CCRCC,shipped,hoptimus1,random,abs,6,0.8800171154994084,0.0007651939125511347,1.6297370235349191,0.0011963264399008132,2.239650113641055,0.07777639668580916,0.04220648781478242,spot,35996
CCRCC,shipped,hoptimus1,random,scaled,6,0.9014054761103765,0.0004988989051897896,1.620102368100189,0.0014876678706225949,2.0912055821116446,0.07824768777858819,0.020346836111035372,spot,35996
COAD,shipped,hoptimus1,donor,abs,4,0.8680182502885646,0.030324836035728,3.228954967679883,0.1988519987644508,5.098737661759541,0.07884014134143946,0.05314160836999589,donor,3389
COAD,shipped,hoptimus1,donor,scaled,4,0.8728192094998203,0.03842837747516511,4.166189669559892,0.5959080334077422,5.779429935285754,0.08329507561955045,0.04388571488062928,donor,3389
COAD,shipped,hoptimus1,patient,abs,2,0.7380315892267042,0.170859559199328,2.4464375231707223,0.8360982566996814,8.27716253297499,0.18536357120619998,0.07660483956709593,block;slide,3389
COAD,shipped,hoptimus1,patient,scaled,2,0.728355163441902,0.21867010363309428,2.7960767039447325,1.4779665425072142,8.816434100148985,0.20028065438801912,0.07136418217007894,block;slide,3389
COAD,shipped,hoptimus1,random,abs,2,0.8964544736819955,0.0003085662054021116,2.120888915391211,0.0012312242733546874,2.9430000608770683,0.0559155756503349,0.04762995066766962,spot,3389
COAD,shipped,hoptimus1,random,scaled,2,0.8993189758556819,0.0004608622673059138,2.245240805858443,0.0035839842886022104,2.8987503401739696,0.061778419910676424,0.03890260423364167,spot,3389
HCC,shipped,hoptimus1,donor,abs,2,0.7619257177649759,0.052606545471509863,1.5798212523657849,0.19223449538366444,3.866050909004736,0.1565617192774429,0.08151256295758125,block,1203
HCC,shipped,hoptimus1,donor,scaled,2,0.7831787867745195,0.008745652927327008,3.903432485959737,1.0936820726212704,6.165634515594634,0.15431206169585934,0.06250915152962123,block,1203
HCC,shipped,hoptimus1,patient,abs,2,0.7714352070484313,0.03468934704795237,1.6054726681335454,0.1413104217203523,3.810229051884234,0.15241732970371713,0.07614746324785154,block,1203
HCC,shipped,hoptimus1,patient,scaled,2,0.7580443146738619,0.020204588252706986,2.6787649819105686,0.13317978671495598,5.252679823649225,0.17089575896180487,0.0710599263643332,block,1203
