task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched
IDC,audited,ctranspath,slide_out,abs,4,0.843579749227928,0.05646120750481702,4.509216560362003,0.2856450810688075,7.169996961363315,0.0985545674278418,0.05786568334423019,slide,7015
IDC,audited,ctranspath,slide_out,scaled,4,0.8557113861338419,0.046306123879541805,58.05000838725398,41.86055856804239,60.66384719369429,0.09316051801325892,0.05112809585289918,slide,7015
PRAD,shipped,ctranspath,slide_out,abs,23,0.8961889121849935,0.08498187822852163,2.0945588770742827,0.12646673571363062,2.8643033095301904,0.06023550730969184,0.043575580505314675,slide,39667
PRAD,shipped,ctranspath,slide_out,scaled,23,0.8984111143376441,0.046423035029924585,1.9871035747805574,0.4974251116446169,2.6918095647234948,0.0891943503395273,0.012394535322828656,slide,39667
READ,shipped,ctranspath,slide_out,abs,4,0.8204574035837022,0.14149560136668893,1.7279886098393316,0.29899800558956674,3.2811428643168865,0.09253663054404626,0.08700596587225155,slide,3819
READ,shipped,ctranspath,slide_out,scaled,4,0.8572675700792566,0.07220905717677685,7.507932171092377,6.653598556389829,8.717573410709264,0.09966450740082977,0.043067922519913586,slide,3819
