task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched,superseded_label_set
IDC,audited,hoptimus0,slide_out,abs,4,0.8226089518565002,0.11578340271268608,4.15239407192037,0.4055872653407264,7.154831770805215,0.12961000873393558,0.04778103940956423,slide,7015,True
IDC,audited,hoptimus0,slide_out,scaled,4,0.8236012202367922,0.11319059643155793,5.00763547313625,0.5261103698580474,8.176082230690303,0.134656100456102,0.04174267930710583,slide,7015,True
PRAD,shipped,hoptimus0,slide_out,abs,23,0.8978393483987278,0.09038161388808466,2.0778280390716013,0.13960846422463338,2.8634212409796165,0.058316752237688695,0.04384389936358344,slide,39667,False
PRAD,shipped,hoptimus0,slide_out,scaled,23,0.8983893547541237,0.03948217498346827,1.9049270387925312,0.4247166481158472,2.575097627393935,0.08222055271684646,0.019390092529029835,slide,39667,False
READ,shipped,hoptimus0,slide_out,abs,4,0.8525661629912832,0.0799649846340434,1.6052080174502665,0.2805308285804732,2.637485197459379,0.09139689708842817,0.05603693992028865,slide,3819,False
READ,shipped,hoptimus0,slide_out,scaled,4,0.8811047901751048,0.04903049687849227,5.049403411761,2.7161045536527815,5.8705219940155615,0.09802538398837492,0.02086982583652032,slide,3819,False
