encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T,superseded_label_set
virchow2,PRAD,shipped,slide_out,MEND151,-1,2,39667,17768,2600,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND152,-1,0,39667,15288,3082,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND152,-1,1,39667,18327,3082,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND152,-1,2,39667,12611,3082,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND153,-1,0,39667,17157,1820,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND153,-1,1,39667,13626,1820,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND153,-1,2,39667,17682,1820,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND154,-1,0,39667,15722,2736,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND154,-1,1,39667,15329,2736,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND154,-1,2,39667,16520,2736,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND156,-1,0,39667,16860,3554,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND156,-1,1,39667,16203,3554,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND156,-1,2,39667,17470,3554,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND157,-1,0,39667,15539,3190,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND157,-1,1,39667,15574,3190,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND157,-1,2,39667,16133,3190,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND158,-1,0,39667,14418,3092,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND158,-1,1,39667,17384,3092,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND158,-1,2,39667,18818,3092,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND159,-1,0,39667,14691,3856,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND159,-1,1,39667,15434,3856,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND159,-1,2,39667,14863,3856,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND160,-1,0,39667,15034,4079,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND160,-1,1,39667,16221,4079,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND160,-1,2,39667,18255,4079,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND161,-1,0,39667,18376,2775,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND161,-1,1,39667,17190,2775,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND161,-1,2,39667,16408,2775,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND162,-1,0,39667,14971,2609,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND162,-1,1,39667,14764,2609,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND162,-1,2,39667,17978,2609,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN36,-1,0,3819,2203,1691,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
virchow2,READ,shipped,slide_out,ZEN36,-1,1,3819,2128,1691,0,0,0,True,True,3819,3819,0.0,0.0,0.0,False
