design,score,n_cells,n_encoders,n_tasks,coverage_mean,coverage_sd_across_cells,shortfall_from_nominal,width_mean,width_sd_across_cells,interval_score_mean,miss_above_mean,miss_below_mean,miss_asymmetry,calibration_units
random,abs,132,12,11,0.8937327863316654,0.009734927910239886,0.006267213668334604,1.9543518593060154,0.3576962369607767,2.6850458129081853,0.0640637597366309,0.04220345393170369,0.20571072723478323,spot
random,scaled,132,12,11,0.8992968684768207,0.0027538828026630775,0.0007031315231793567,2.2863034465487635,0.7490993406203468,2.939916241935022,0.07005661320936443,0.030646518313814944,0.39134924901991014,spot
patient,abs,132,12,11,0.7862392719231861,0.07692928690410425,0.11376072807681392,2.6342064778492498,0.8340888010448135,5.6975116321051695,0.13006470497470185,0.08369602310211202,0.21691861872741877,block;block;slide;patient;slide
patient,scaled,132,12,11,0.7894590928274043,0.07380557907344207,0.11054090717259568,11.604339220037627,22.7114185402034,14.830707640991415,0.13750026291055556,0.0730406442620401,0.30616196877917523,block;block;slide;patient;slide
donor,abs,132,12,11,0.8024485509175473,0.08447594203458181,0.09755144908245272,2.760731317405162,0.9824179306252423,5.414501481264256,0.12015044361405809,0.07740100546839465,0.2163964797232186,block;donor;slide
donor,scaled,132,12,11,0.8040498182760293,0.07347820636029195,0.09595018172397074,16.503779311563598,49.00902724400855,19.285155207300896,0.12813083066461278,0.0678193510593579,0.30778986308986395,block;donor;slide
slide_out,abs,36,12,3,0.8584947281319253,0.02940051784302556,0.04150527186807473,2.672928151024267,1.1712491529629228,4.253092672315792,0.08861322421228252,0.05289204765579216,0.2524370723784284,slide
slide_out,scaled,36,12,3,0.8711142423114718,0.026027829026562598,0.02888575768852819,9.139522200228999,15.026318362165567,10.61728951678317,0.09774089055744571,0.03114486713108243,0.5167058379507115,slide
