encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T
hoptimus0,CCRCC,shipped,donor,INT1,-1,0,35996,22105,1084,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT1,-1,1,35996,22542,1084,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT1,-1,2,35996,17537,1084,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT10,-1,0,35996,20751,1983,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT10,-1,1,35996,19589,1983,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT10,-1,2,35996,15682,1983,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT11,-1,0,35996,18765,1439,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT11,-1,1,35996,19774,1439,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT11,-1,2,35996,16893,1439,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT12,-1,0,35996,19276,1451,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT12,-1,1,35996,19118,1451,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT12,-1,2,35996,13495,1451,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT13,-1,0,35996,14763,4359,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT13,-1,1,35996,15569,4359,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT13,-1,2,35996,17605,4359,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT14,-1,0,35996,20484,4562,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT14,-1,1,35996,10569,4562,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT14,-1,2,35996,19870,4562,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT15,-1,0,35996,21635,4940,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT15,-1,1,35996,19409,4940,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT15,-1,2,35996,22370,4940,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT16,-1,0,35996,16890,3206,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT16,-1,1,35996,16496,3206,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT16,-1,2,35996,20702,3206,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT17,-1,0,35996,22814,3585,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT17,-1,1,35996,18516,3585,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT17,-1,2,35996,21742,3585,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT18,-1,0,35996,20693,4915,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT18,-1,1,35996,12528,4915,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT18,-1,2,35996,17768,4915,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT19,-1,0,35996,17973,4948,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT19,-1,1,35996,16852,4948,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT19,-1,2,35996,16547,4948,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT2,-1,0,35996,17105,2580,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT2,-1,1,35996,17025,2580,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT2,-1,2,35996,17316,2580,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT20,-1,0,35996,12289,4860,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT20,-1,1,35996,22582,4860,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT20,-1,2,35996,23616,4860,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT21,-1,0,35996,13913,4975,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT21,-1,1,35996,10996,4975,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT21,-1,2,35996,15758,4975,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT22,-1,0,35996,17587,3829,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT22,-1,1,35996,21427,3829,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT22,-1,2,35996,23361,3829,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT23,-1,0,35996,21452,4755,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT23,-1,1,35996,17479,4755,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT23,-1,2,35996,13269,4755,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT24,-1,0,35996,18859,4510,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT24,-1,1,35996,24159,4510,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT24,-1,2,35996,17964,4510,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT3,-1,0,35996,20344,2007,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT3,-1,1,35996,19219,2007,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT3,-1,2,35996,17234,2007,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT4,-1,0,35996,13610,1349,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT4,-1,1,35996,20622,1349,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT4,-1,2,35996,18248,1349,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT5,-1,0,35996,24596,1186,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT5,-1,1,35996,17266,1186,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT5,-1,2,35996,22330,1186,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT6,-1,0,35996,17592,1678,0,0,0,True,True,35996,35996,0.0,0.0,0.0
hoptimus0,CCRCC,shipped,donor,INT6,-1,1,35996,19422,1678,0,0,0,True,True,35996,35996,0.0,0.0,0.0
