task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit,superseded_label_set
IDC,audited,conch_v1,slide_out,abs,NCBI783,0.8847210205213534,4.400032311992541,6.0864820259845525,0.06785357737104825,0.04742540210759844,slide,True
IDC,audited,conch_v1,slide_out,abs,NCBI785,0.7183042394014963,3.7868264618763043,8.240561738352786,0.2319684123025769,0.04972734829592684,slide,True
IDC,audited,conch_v1,slide_out,abs,TENX95,0.8782568728522336,4.488447213194106,7.128178186199265,0.08704467353951889,0.03469845360824742,slide,True
IDC,audited,conch_v1,slide_out,abs,TENX99,0.8746752725462806,4.269060149876862,6.458274603589682,0.035673297689578214,0.08965142976414109,slide,True
IDC,audited,conch_v1,slide_out,scaled,NCBI783,0.8617592900721021,12.238915420907935,14.201383106102673,0.09367720465890182,0.04456350526899611,slide,True
IDC,audited,conch_v1,slide_out,scaled,NCBI785,0.7897689110556941,5.753600909252235,8.992224296056497,0.17868994181213635,0.03154114713216958,slide,True
IDC,audited,conch_v1,slide_out,scaled,TENX95,0.8669862542955326,6.036528752424995,8.722060881560958,0.0944742268041237,0.03853951890034364,slide,True
IDC,audited,conch_v1,slide_out,scaled,TENX99,0.8771773999325658,6.748595892267914,9.172396223737886,0.04230945843970265,0.08051314162773149,slide,True
PRAD,shipped,conch_v1,slide_out,abs,MEND139,0.8529599004178893,2.1514242394105327,2.860979227147984,0.03904863519160665,0.10799146439050415,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND140,0.890322136089578,1.970436375095452,2.5913274993395663,0.09740568475452195,0.012272179155900086,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND141,0.9420772946859902,2.07412181177534,2.38669040263437,0.05441099962839093,0.0035117056856187293,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND142,0.9509843176509843,2.1306850735288294,2.35768689523963,0.03671004337671004,0.012305638972305638,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND143,0.9592994409503843,1.9760716155561173,2.1392830134689653,0.03963137665967855,0.0010691823899371068,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND144,0.9746129929635083,2.1111671458865175,2.2119451339450458,0.02315169366715759,0.002235313369333988,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND145,0.9430042313117065,2.1347944658034126,2.478953987048136,0.05508697696285849,0.0019087917254348846,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND146,0.9656076035302105,1.9839157927210629,2.17439933373066,0.027695179904955874,0.006697216564833673,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND147,0.9557544610992149,2.2177057089737953,2.427404113218534,0.035546038543897214,0.008699500356887937,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND148,0.9788201673810981,2.115753336743427,2.225843600620941,0.016354358032251482,0.0048254745866503366,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND149,0.950455609580407,1.9826765680404692,2.231036098729858,0.04012245632991176,0.009421934089681254,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND150,0.8886046068913003,2.2446921117374927,3.07606300391485,0.1044774414620217,0.006917951646678089,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND151,0.951,2.1964583894024607,2.3667861941560715,0.019284615384615386,0.029715384615384616,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND152,0.918825438027255,2.1643041394449045,2.5620048853484323,0.03993510707332901,0.04123945489941597,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND153,0.9109194139194138,2.2075181139155577,2.654885968588239,0.08323076923076923,0.00584981684981685,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND154,0.8492860623781676,2.0341645968096365,3.026144236474357,0.10105019493177388,0.049663742690058486,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND156,0.7199024573250797,1.9189040958507555,5.910383248803463,0.20797036203338962,0.07212718064153066,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND157,0.8326917450365726,1.9354524621149884,3.086030602739424,0.10863322884012538,0.05867502612330199,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND158,0.8991354031910306,2.2332023358300255,2.865455495199472,0.05936394997843899,0.041500646830530404,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND159,0.6877351313969572,1.8748540826188418,4.3901610185451245,0.04872579529737206,0.26353907330567083,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND160,0.873161722644439,2.1701205427110803,2.9106942904439346,0.022464656370025333,0.10437362098553567,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND161,0.7663495495495495,2.044400169178335,3.954992714294915,0.18952312312312314,0.044127327327327326,slide,False
PRAD,shipped,conch_v1,slide_out,abs,MEND162,0.9597981346620671,1.9247107257895382,2.1935977648388683,0.021609812188577996,0.018592053149354797,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND139,0.9152058326664889,2.4971872076640325,2.993915518565418,0.04658842357962123,0.03820574375388993,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND140,0.8630663221360896,1.760821411668327,2.5943134095412788,0.1303669250645995,0.006566752799310939,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND141,0.873623188405797,1.554603671578711,2.3094846782034124,0.11884057971014493,0.007536231884057971,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND142,0.9264041819597376,1.901495416430753,2.267739756084238,0.0631787342898454,0.010417083750417083,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND143,0.8733682739343117,1.3767416622910098,2.044245025899802,0.12379804332634521,0.0028336827393431164,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND144,0.9073424971363115,1.42529745657233,1.9028651627350206,0.08950580919653084,0.0031516936671575845,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND145,0.8948707099200752,1.6417452221890674,2.295089609432389,0.1024776680771039,0.002651622002820875,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND146,0.9306042090970807,1.5432393249994873,1.9594017583710024,0.061147318397827555,0.00824847250509165,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND147,0.9224039971448965,1.9050613536284482,2.368661196161825,0.07208279800142754,0.005513204853675946,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND148,0.8989548887528067,1.2229075740240398,1.809637564859604,0.08835680751173709,0.012688303735456215,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND149,0.9014118494507474,1.6313007880648545,2.1813225164847916,0.08899333693499008,0.00959481361426256,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND150,0.8625471159337521,2.0807945853469287,3.101840203998973,0.13461640967066438,0.002836474395583476,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND151,0.9261128205128205,1.9638070273818613,2.3536780242459465,0.057941025641025636,0.015946153846153846,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND152,0.9177244213714038,2.0754474926357482,2.5678706920405023,0.05436513086740211,0.02791044776119403,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND153,0.8729304029304029,1.973876160777336,2.751863138537422,0.11781318681318681,0.009256410256410256,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND154,0.919546783625731,2.305044095692915,2.8008210179325883,0.07376218323586745,0.006691033138401559,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND156,0.8065559932470455,2.2031579428842716,5.254043705160911,0.1776102044644532,0.01583380228850122,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND157,0.9091222570532915,2.3001885427865933,2.8757907773316895,0.08198746081504703,0.008890282131661443,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND158,0.8979366106080207,2.095670512327399,2.805464659026658,0.09183484260457093,0.010228546787408366,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND159,0.9678336791147993,3.368008490098823,3.6508074632980207,0.03087482710926694,0.0012914937759336098,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND160,0.9478957260766526,2.389903251240408,2.6727574417146145,0.03120862956607012,0.020895644357277112,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND161,0.8339963963963964,2.254130588032291,3.5531202251484486,0.15757597597597597,0.008427627627627629,slide,False
PRAD,shipped,conch_v1,slide_out,scaled,MEND162,0.9074434649290916,1.3865174500362187,2.0163561773832863,0.0569004727226268,0.035656062348281586,slide,False
READ,shipped,conch_v1,slide_out,abs,ZEN36,0.784261778040607,1.5267130891589986,3.543006990814168,0.2011945594322886,0.014543662527104277,slide,False
READ,shipped,conch_v1,slide_out,abs,ZEN40,0.7546992481203008,1.3523621940076431,2.705229400570456,0.08171992481203007,0.16358082706766916,slide,False
READ,shipped,conch_v1,slide_out,abs,ZEN48,0.9384374563242487,1.993150406819149,2.360930739618242,0.04238714185883998,0.019175401816911252,slide,False
READ,shipped,conch_v1,slide_out,abs,ZEN49,0.9149220759570283,1.7972965963967618,2.281122402186242,0.05320018157058557,0.03187774247238614,slide,False
READ,shipped,conch_v1,slide_out,scaled,ZEN36,0.8204454957618766,4.179735776909194,5.732370084682562,0.16843682239306132,0.011117681845062094,slide,False
READ,shipped,conch_v1,slide_out,scaled,ZEN40,0.8455733082706768,1.8006446527445874,2.7448369933279655,0.08555137844611528,0.06887531328320802,slide,False
READ,shipped,conch_v1,slide_out,scaled,ZEN48,0.9268986722571628,7.526264631466116,7.950495501665292,0.06436058700209644,0.008740740740740742,slide,False
READ,shipped,conch_v1,slide_out,scaled,ZEN49,0.9075624148887881,4.993305807871389,5.534293332959504,0.0782932364956877,0.014144348615524285,slide,False
