,dataset,hoptimus0_mean,hoptimus0_std
0,IDC,0.597625,0.08528075325066022
1,PRAD,0.38475000000000004,0.0002500000000000002
2,PAAD,0.4910666666666667,0.03997702117744921
3,SKCM,0.6455,0.06240000000000001
4,COAD,0.3087,0.00020000000000000573
5,READ,0.2216,0.0476
6,CCRCC,0.26768333333333333,0.03166098633263903
7,LUNG,0.5589500000000001,0.03255000000000002
8,LYMPH_IDC,0.259175,0.04047495367508158
9,HCC,0.07915,0.005650000000000002
