,dataset,gigapath_mean,gigapath_std
0,IDC,0.5211250000000001,0.06366864907472124
1,PRAD,0.37375,0.009949999999999987
2,PAAD,0.44436666666666663,0.05698551472864738
3,SKCM,0.52845,0.05005000000000001
4,COAD,0.27885,0.01605000000000001
5,READ,0.15965000000000001,0.07365000000000001
6,CCRCC,0.2186,0.039868199524600224
7,LUNG,0.5514,0.012399999999999967
8,LYMPH_IDC,0.24632500000000002,0.05213752847038302
9,HCC,0.05715,0.0005500000000000019
