encoder,task,design,fold,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
hoptimus0,CCRCC,patient,0,,,55849,18371,4,0.2083837389945984,0.16000109080523545,0.40-0.50,True,False,INT13;INT14;INT15;INT24
hoptimus0,CCRCC,random,0,0.0,,55849,18371,24,0.6558906435966492,0.26469465687854005,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked,0,0.0,4.0,54026,20194,24,0.6319516897201538,0.23750232727274123,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked_buffered,0,0.0,4.0,47923,20194,24,0.6224061846733093,0.23412867388144756,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked_matched,0,0.0,4.0,47923,20194,24,0.6316496133804321,0.23685095281165558,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,random_matched,0,0.0,4.0,47923,18371,24,0.6555612087249756,0.2638914658851475,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked,0,0.0,6.0,54755,19465,24,0.6523191332817078,0.24060140962281365,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked_buffered,0,0.0,6.0,45250,19465,24,0.647315263748169,0.23689268423491738,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked_matched,0,0.0,6.0,45250,19465,24,0.6516274809837341,0.23995534329510218,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,random_matched,0,0.0,6.0,45250,18371,24,0.6552116870880127,0.26368241176062535,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked,0,0.0,10.0,55501,18719,24,0.6544657945632935,0.22877929141483042,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked_buffered,0,0.0,10.0,38612,18719,24,0.641907811164856,0.22277647762229513,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked_matched,0,0.0,10.0,38612,18719,24,0.6534266471862793,0.22705445685021308,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,random_matched,0,0.0,10.0,38612,18371,24,0.654751718044281,0.2639141501716222,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,random,0,1.0,,55849,18371,24,0.6539116501808167,0.26357852813089266,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
hoptimus0,CCRCC,blocked,0,1.0,4.0,53591,20629,24,0.6450328826904297,0.22658452209958338,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
