encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
hoptimus0,READ,with_replicate,ZEN36,,2,,4588,1691,1,0.3645138144493103,0.3645138233155012,0.40-0.50,True,False,ZEN36
hoptimus0,READ,without_replicate,ZEN36,,2,,4588,1691,1,0.2505280375480652,0.25052805290557445,0.40-0.50,True,False,ZEN36
hoptimus0,READ,with_replicate,ZEN36,,3,,4588,1691,1,0.3687628507614136,0.36876289539039137,0.40-0.50,True,False,ZEN36
hoptimus0,READ,without_replicate,ZEN36,,3,,4588,1691,1,0.2505280375480652,0.25052805290557445,0.40-0.50,True,False,ZEN36
hoptimus0,READ,with_replicate,ZEN36,,4,,4588,1691,1,0.3598088026046753,0.3598088018596172,0.40-0.50,True,False,ZEN36
hoptimus0,READ,without_replicate,ZEN36,,4,,4588,1691,1,0.2505280375480652,0.25052805290557445,0.40-0.50,True,False,ZEN36
hoptimus0,READ,with_replicate,ZEN40,,0,,4588,2128,1,0.3008878827095032,0.30088787093758584,0.40-0.50,True,False,ZEN40
hoptimus0,READ,without_replicate,ZEN40,,0,,4588,2128,1,0.15604394674301147,0.1560439303331077,0.40-0.50,True,False,ZEN40
hoptimus0,READ,with_replicate,ZEN40,,1,,4588,2128,1,0.3115142583847046,0.31151426866650583,0.40-0.50,True,False,ZEN40
hoptimus0,READ,without_replicate,ZEN40,,1,,4588,2128,1,0.15604394674301147,0.1560439303331077,0.40-0.50,True,False,ZEN40
hoptimus0,READ,with_replicate,ZEN40,,2,,4588,2128,1,0.30924567580223083,0.30924568593502044,0.40-0.50,True,False,ZEN40
hoptimus0,READ,without_replicate,ZEN40,,2,,4588,2128,1,0.15604394674301147,0.1560439303331077,0.40-0.50,True,False,ZEN40
hoptimus0,READ,with_replicate,ZEN40,,3,,4588,2128,1,0.3047803044319153,0.3047803086787462,0.40-0.50,True,False,ZEN40
hoptimus0,READ,without_replicate,ZEN40,,3,,4588,2128,1,0.15604394674301147,0.1560439303331077,0.40-0.50,True,False,ZEN40
hoptimus0,READ,with_replicate,ZEN40,,4,,4588,2128,1,0.30551737546920776,0.30551740124821664,0.40-0.50,True,False,ZEN40
hoptimus0,READ,without_replicate,ZEN40,,4,,4588,2128,1,0.15604394674301147,0.1560439303331077,0.40-0.50,True,False,ZEN40
