grid,blocked,blocked_buffered,ratio_buffered_over_blocked,blocked_mean,blocked_std,blocked_count,blocked_buffered_mean,blocked_buffered_std,blocked_buffered_count
4,1461.0,2195.0057,1.5024,0.4234,0.2039,435,0.4118,0.2013,435
6,971.7721,1676.6648,1.7254,0.4393,0.2023,435,0.4222,0.1981,435
10,636.0008,1316.727,2.0703,0.4515,0.2021,435,0.414,0.1931,417
