encoder,task,design,fold,repeat,grid,n_train,median_nn_train_dist
uni_v2,CCRCC,blocked_buffered,2,3,6,54504,954.6025350898666
uni_v2,CCRCC,blocked,2,3,10,62984,379.05672398732094
uni_v2,CCRCC,blocked_buffered,2,3,10,51264,761.0
uni_v2,CCRCC,blocked,2,4,4,59927,761.0006570299397
uni_v2,CCRCC,blocked_buffered,2,4,4,54905,1142.0004378282874
uni_v2,CCRCC,blocked,2,4,6,62073,578.1141755743411
uni_v2,CCRCC,blocked_buffered,2,4,6,54881,956.3472172804185
uni_v2,CCRCC,blocked,2,4,10,63034,379.05672398732094
uni_v2,CCRCC,blocked_buffered,2,4,10,51253,761.0
uni_v2,CCRCC,blocked,3,0,4,64947,761.0006570299397
uni_v2,CCRCC,blocked_buffered,3,0,4,61496,1142.0
uni_v2,CCRCC,blocked,3,0,6,65923,438.0011415510238
uni_v2,CCRCC,blocked_buffered,3,0,6,60647,875.0005714283849
uni_v2,CCRCC,blocked,3,0,10,66708,379.05672398732094
uni_v2,CCRCC,blocked_buffered,3,0,10,57980,760.0
uni_v2,CCRCC,blocked,3,1,4,64633,788.2417141968573
uni_v2,CCRCC,blocked_buffered,3,1,4,61314,1216.9239910528513
uni_v2,CCRCC,blocked,3,1,6,65997,438.0
uni_v2,CCRCC,blocked_buffered,3,1,6,60652,875.0005714283849
uni_v2,CCRCC,blocked,3,1,10,66662,379.05672398732094
uni_v2,CCRCC,blocked_buffered,3,1,10,57673,760.0
uni_v2,CCRCC,blocked,3,2,4,64095,760.000657894452
uni_v2,CCRCC,blocked_buffered,3,2,4,60150,1141.0
uni_v2,CCRCC,blocked,3,2,6,65806,578.1141755743411
uni_v2,CCRCC,blocked_buffered,3,2,6,60882,956.3472172804185
uni_v2,CCRCC,blocked,3,2,10,66727,379.05672398732094
uni_v2,CCRCC,blocked_buffered,3,2,10,57790,760.0
uni_v2,CCRCC,blocked,3,3,4,64658,760.0
uni_v2,CCRCC,blocked_buffered,3,3,4,60751,1140.001754384615
uni_v2,CCRCC,blocked,3,3,6,65779,578.1141755743411
uni_v2,CCRCC,blocked_buffered,3,3,6,60645,956.1192394257109
uni_v2,CCRCC,blocked,3,3,10,66668,379.05672398732094
uni_v2,CCRCC,blocked_buffered,3,3,10,57667,760.0
uni_v2,CCRCC,blocked,3,4,4,64549,761.0
uni_v2,CCRCC,blocked_buffered,3,4,4,60948,1141.0004382120105
uni_v2,CCRCC,blocked,3,4,6,66082,578.1141755743411
uni_v2,CCRCC,blocked_buffered,3,4,6,61109,956.1192394257109
uni_v2,CCRCC,blocked,3,4,10,66709,379.05672398732094
uni_v2,CCRCC,blocked_buffered,3,4,10,57824,760.0
uni_v2,CCRCC,blocked,4,0,4,55960,791.6091207155208
uni_v2,CCRCC,blocked_buffered,4,0,4,50120,1307.0034429947
uni_v2,CCRCC,blocked,4,0,6,58224,578.7313711904686
uni_v2,CCRCC,blocked_buffered,4,0,6,49583,957.1128460113781
uni_v2,CCRCC,blocked,4,0,10,58940,379.05672398732094
uni_v2,CCRCC,blocked_buffered,4,0,10,43841,761.0
uni_v2,CCRCC,blocked,4,1,4,55867,874.0005720821927
uni_v2,CCRCC,blocked_buffered,4,1,4,50219,1312.0
uni_v2,CCRCC,blocked,4,1,6,57912,578.7313711904686
uni_v2,CCRCC,blocked_buffered,4,1,6,49025,957.1128460113781
uni_v2,CCRCC,blocked,4,1,10,59034,379.05672398732094
uni_v2,CCRCC,blocked_buffered,4,1,10,43923,761.0
uni_v2,CCRCC,blocked,4,2,4,56215,788.0012690345111
uni_v2,CCRCC,blocked_buffered,4,2,4,50071,1216.7682605985415
uni_v2,CCRCC,blocked,4,2,6,58417,578.4436013994796
uni_v2,CCRCC,blocked_buffered,4,2,6,49600,957.0005224658971
uni_v2,CCRCC,blocked,4,2,10,59101,379.05672398732094
uni_v2,CCRCC,blocked_buffered,4,2,10,44499,761.0006570299397
uni_v2,CCRCC,blocked,4,3,4,55862,788.0012690345111
uni_v2,CCRCC,blocked_buffered,4,3,4,49743,1216.7682605985415
uni_v2,CCRCC,blocked,4,3,6,57977,579.0587189568947
uni_v2,CCRCC,blocked_buffered,4,3,6,49458,957.226201062215
uni_v2,CCRCC,blocked,4,3,10,59036,380.0
uni_v2,CCRCC,blocked_buffered,4,3,10,44686,761.0006570299397
uni_v2,CCRCC,blocked,4,4,4,55684,788.4833542948132
uni_v2,CCRCC,blocked_buffered,4,4,4,49809,1217.9117373603065
uni_v2,CCRCC,blocked,4,4,6,58218,577.7862926722994
uni_v2,CCRCC,blocked_buffered,4,4,6,48679,956.1192394257109
uni_v2,CCRCC,blocked,4,4,10,59074,379.05672398732094
uni_v2,CCRCC,blocked_buffered,4,4,10,44277,761.0006570299397
uni_v2,CCRCC,blocked,5,0,4,55076,788.2417141968573
uni_v2,CCRCC,blocked_buffered,5,0,4,48696,1216.7682605985415
uni_v2,CCRCC,blocked,5,0,6,56241,578.4436013994796
uni_v2,CCRCC,blocked_buffered,5,0,6,46301,957.1128460113781
uni_v2,CCRCC,blocked,5,0,10,57118,379.9223604896137
uni_v2,CCRCC,blocked_buffered,5,0,10,41054,761.0006570299397
uni_v2,CCRCC,blocked,5,1,4,55271,873.0005727374983
uni_v2,CCRCC,blocked_buffered,5,1,4,49409,1311.0
uni_v2,CCRCC,blocked,5,1,6,56509,579.0587189568947
uni_v2,CCRCC,blocked_buffered,5,1,6,47206,957.226201062215
uni_v2,CCRCC,blocked,5,1,10,57190,380.0
uni_v2,CCRCC,blocked_buffered,5,1,10,41468,761.0006570299397
