encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
uni_v2,READ,without_replicate,ZEN36,,2,,4588,1691,1,0.25679489970207214,0.2567949215322733,0.40-0.50,True,False,ZEN36
uni_v2,READ,with_replicate,ZEN36,,3,,4588,1691,1,0.3656254708766937,0.3656254175305367,0.40-0.50,True,False,ZEN36
uni_v2,READ,without_replicate,ZEN36,,3,,4588,1691,1,0.25679489970207214,0.2567949215322733,0.40-0.50,True,False,ZEN36
uni_v2,READ,with_replicate,ZEN36,,4,,4588,1691,1,0.35982006788253784,0.35982009038329127,0.40-0.50,True,False,ZEN36
uni_v2,READ,without_replicate,ZEN36,,4,,4588,1691,1,0.25679489970207214,0.2567949215322733,0.40-0.50,True,False,ZEN36
uni_v2,READ,with_replicate,ZEN40,,0,,4588,2128,1,0.30530038475990295,0.30530037835240365,0.40-0.50,True,False,ZEN40
uni_v2,READ,without_replicate,ZEN40,,0,,4588,2128,1,0.18060733377933502,0.18060734217986465,0.40-0.50,True,False,ZEN40
uni_v2,READ,with_replicate,ZEN40,,1,,4588,2128,1,0.28940466046333313,0.28940464481711387,0.40-0.50,True,False,ZEN40
uni_v2,READ,without_replicate,ZEN40,,1,,4588,2128,1,0.18060733377933502,0.18060734217986465,0.40-0.50,True,False,ZEN40
uni_v2,READ,with_replicate,ZEN40,,2,,4588,2128,1,0.2946474254131317,0.29464744027704,0.40-0.50,True,False,ZEN40
uni_v2,READ,without_replicate,ZEN40,,2,,4588,2128,1,0.18060733377933502,0.18060734217986465,0.40-0.50,True,False,ZEN40
uni_v2,READ,with_replicate,ZEN40,,3,,4588,2128,1,0.30119413137435913,0.3011941334605217,0.40-0.50,True,False,ZEN40
uni_v2,READ,without_replicate,ZEN40,,3,,4588,2128,1,0.18060733377933502,0.18060734217986465,0.40-0.50,True,False,ZEN40
uni_v2,READ,with_replicate,ZEN40,,4,,4588,2128,1,0.2980600893497467,0.29806006982922556,0.40-0.50,True,False,ZEN40
uni_v2,READ,without_replicate,ZEN40,,4,,4588,2128,1,0.18060733377933502,0.18060734217986465,0.40-0.50,True,False,ZEN40
