,dataset,virchow2_mean,virchow2_std
0,IDC,0.5490999999999999,0.07226212700993513
1,PRAD,0.3769,0.003700000000000009
2,PAAD,0.4486333333333333,0.05519603447913827
3,SKCM,0.59505,0.010149999999999992
4,COAD,0.29115,0.022150000000000003
5,READ,0.17959999999999998,0.0775
6,CCRCC,0.2507333333333333,0.03614566210334083
7,LUNG,0.57625,0.011149999999999993
8,LYMPH_IDC,0.26025,0.05020883886329179
9,HCC,0.06575,0.000449999999999999
