JobID|JobName|Account|Partition|NodeList|State|Elapsed|Timelimit|ReqCPUS|ReqMem|MaxRSS|Submit|Start|End
2292534|operon-c6606d9e|rc_htzhu_pi|spill|c151409|COMPLETED|00:22:27|02:00:00|4|24G||2026-09-23T22:44:30|2026-09-23T23:11:46|2026-09-23T23:34:13
2292534.batch|batch|rc_htzhu_pi||c151409|COMPLETED|00:22:27||4||11685976K|2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:34:13
2292534.extern|extern|rc_htzhu_pi||c151409|COMPLETED|00:22:27||4|||2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:34:13
2299026|operon-19b5c7c3|rc_htzhu_pi|spill|c151403|COMPLETED|00:00:02|00:10:00|1|2G||2026-09-23T23:08:53|2026-09-23T23:09:54|2026-09-23T23:09:56
2299026.batch|batch|rc_htzhu_pi||c151403|COMPLETED|00:00:02||1||3140K|2026-09-23T23:09:54|2026-09-23T23:09:54|2026-09-23T23:09:56
2299026.extern|extern|rc_htzhu_pi||c151403|COMPLETED|00:00:03||1|||2026-09-23T23:09:54|2026-09-23T23:09:54|2026-09-23T23:09:57
2301104|operon-93a664b4|rc_htzhu_pi|spill|c151417|FAILED|00:04:49|01:00:00|4|16G||2026-09-23T23:10:14|2026-09-23T23:10:49|2026-09-23T23:15:38
2301104.batch|batch|rc_htzhu_pi||c151417|FAILED|00:04:49||4||920860K|2026-09-23T23:10:49|2026-09-23T23:10:49|2026-09-23T23:15:38
2301104.extern|extern|rc_htzhu_pi||c151417|COMPLETED|00:04:49||4|||2026-09-23T23:10:49|2026-09-23T23:10:49|2026-09-23T23:15:38
2301783|operon-cce4fe53|rc_htzhu_pi|spill|c0301|COMPLETED|00:11:47|01:30:00|4|32G||2026-09-23T23:10:37|2026-09-23T23:11:46|2026-09-23T23:23:33
2301783.batch|batch|rc_htzhu_pi||c0301|COMPLETED|00:11:47||4||16250136K|2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:23:33
2301783.extern|extern|rc_htzhu_pi||c0301|COMPLETED|00:11:48||4|||2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:23:34
2301818|operon-8492b135|rc_htzhu_pi|spill|c151409|COMPLETED|00:01:53|01:30:00|4|32G||2026-09-23T23:10:40|2026-09-23T23:11:46|2026-09-23T23:13:39
2301818.batch|batch|rc_htzhu_pi||c151409|COMPLETED|00:01:53||4||2326728K|2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:13:39
2301818.extern|extern|rc_htzhu_pi||c151409|COMPLETED|00:01:53||4|||2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:13:39
2303949|operon-ed21f5a5|rc_htzhu_pi|spill|None assigned|CANCELLED by 375767|00:00:00|08:00:00|4|24G||2026-09-23T23:19:34|None|2026-09-23T23:26:21
2303953|operon-59545519|rc_htzhu_pi|spill|None assigned|CANCELLED by 375767|00:00:00|08:00:00|4|24G||2026-09-23T23:19:38|None|2026-09-23T23:26:22
2303958|operon-14024aba|rc_htzhu_pi|spill|None assigned|CANCELLED by 375767|00:00:00|08:00:00|4|24G||2026-09-23T23:19:42|None|2026-09-23T23:26:23
2305347|operon-d0138377|rc_htzhu_pi|spill|c151417|FAILED|00:00:02|00:40:00|4|32G||2026-09-23T23:25:37|2026-09-23T23:27:01|2026-09-23T23:27:03
2305347.batch|batch|rc_htzhu_pi||c151417|FAILED|00:00:02||4||5356K|2026-09-23T23:27:01|2026-09-23T23:27:01|2026-09-23T23:27:03
2305347.extern|extern|rc_htzhu_pi||c151417|COMPLETED|00:00:02||4|||2026-09-23T23:27:01|2026-09-23T23:27:01|2026-09-23T23:27:03
2305349|operon-16ff13bc|rc_htzhu_pi|spill|c151418|COMPLETED|00:11:32|01:40:00|4|48G||2026-09-23T23:25:40|2026-09-23T23:27:01|2026-09-23T23:38:33
2305349.batch|batch|rc_htzhu_pi||c151418|COMPLETED|00:11:32||4||5864004K|2026-09-23T23:27:01|2026-09-23T23:27:01|2026-09-23T23:38:33
2305349.extern|extern|rc_htzhu_pi||c151418|COMPLETED|00:11:32||4|||2026-09-23T23:27:01|2026-09-23T23:27:01|2026-09-23T23:38:33
2305350|operon-a0ad0d41|rc_htzhu_pi|spill|c151410|COMPLETED|00:01:41|01:40:00|4|48G||2026-09-23T23:25:43|2026-09-23T23:27:01|2026-09-23T23:28:42
2305350.batch|batch|rc_htzhu_pi||c151410|COMPLETED|00:01:41||4||4295752K|2026-09-23T23:27:01|2026-09-23T23:27:01|2026-09-23T23:28:42
2305350.extern|extern|rc_htzhu_pi||c151410|COMPLETED|00:01:41||4|||2026-09-23T23:27:01|2026-09-23T23:27:01|2026-09-23T23:28:42
2305488|operon-546adff6|rc_htzhu_pi|spill|c141601|COMPLETED|01:54:26|06:00:00|4|24G||2026-09-23T23:26:26|2026-09-23T23:40:27|2026-09-24T01:34:53
2305488.batch|batch|rc_htzhu_pi||c141601|COMPLETED|01:54:26||4||6623768K|2026-09-23T23:40:27|2026-09-23T23:40:27|2026-09-24T01:34:53
2305488.extern|extern|rc_htzhu_pi||c141601|COMPLETED|01:54:26||4|||2026-09-23T23:40:27|2026-09-23T23:40:27|2026-09-24T01:34:53
2305489|operon-dd834696|rc_htzhu_pi|spill|c151606|COMPLETED|02:42:07|08:00:00|4|24G||2026-09-23T23:26:30|2026-09-23T23:43:08|2026-09-24T02:25:15
2305489.batch|batch|rc_htzhu_pi||c151606|COMPLETED|02:42:07||4||7421532K|2026-09-23T23:43:08|2026-09-23T23:43:08|2026-09-24T02:25:15
2305489.extern|extern|rc_htzhu_pi||c151606|COMPLETED|02:42:07||4|||2026-09-23T23:43:08|2026-09-23T23:43:08|2026-09-24T02:25:15
2305490|operon-e2409073|rc_htzhu_pi|spill|c151603|COMPLETED|01:33:06|06:00:00|4|24G||2026-09-23T23:26:33|2026-09-23T23:40:27|2026-09-24T01:13:33
2305490.batch|batch|rc_htzhu_pi||c151603|COMPLETED|01:33:06||4||7388612K|2026-09-23T23:40:27|2026-09-23T23:40:27|2026-09-24T01:13:33
2305490.extern|extern|rc_htzhu_pi||c151603|COMPLETED|01:33:06||4|||2026-09-23T23:40:27|2026-09-23T23:40:27|2026-09-24T01:13:33
2305536|operon-60ba2069|rc_htzhu_pi|spill|c0411|COMPLETED|02:27:20|06:00:00|4|24G||2026-09-23T23:26:38|2026-09-23T23:44:05|2026-09-24T02:11:25
2305536.batch|batch|rc_htzhu_pi||c0411|COMPLETED|02:27:20||4||6957784K|2026-09-23T23:44:05|2026-09-23T23:44:05|2026-09-24T02:11:25
2305536.extern|extern|rc_htzhu_pi||c0411|COMPLETED|02:27:21||4|||2026-09-23T23:44:05|2026-09-23T23:44:05|2026-09-24T02:11:26
2305537|operon-b8c6e91a|rc_htzhu_pi|spill|c151608|COMPLETED|02:30:28|08:00:00|4|24G||2026-09-23T23:26:42|2026-09-23T23:49:09|2026-09-24T02:19:37
2305537.batch|batch|rc_htzhu_pi||c151608|COMPLETED|02:30:28||4||7725732K|2026-09-23T23:49:09|2026-09-23T23:49:09|2026-09-24T02:19:37
2305537.extern|extern|rc_htzhu_pi||c151608|COMPLETED|02:30:28||4|||2026-09-23T23:49:09|2026-09-23T23:49:09|2026-09-24T02:19:37
2305540|operon-9e3b32a1|rc_htzhu_pi|spill|c151410|COMPLETED|01:29:10|06:00:00|4|24G||2026-09-23T23:26:47|2026-09-23T23:45:54|2026-09-24T01:15:04
2305540.batch|batch|rc_htzhu_pi||c151410|COMPLETED|01:29:10||4||9438412K|2026-09-23T23:45:54|2026-09-23T23:45:54|2026-09-24T01:15:04
2305540.extern|extern|rc_htzhu_pi||c151410|COMPLETED|01:29:10||4|||2026-09-23T23:45:54|2026-09-23T23:45:54|2026-09-24T01:15:04
2305552|operon-69d1754b|rc_htzhu_pi|spill|c151603|COMPLETED|02:22:30|06:00:00|4|24G||2026-09-23T23:26:52|2026-09-23T23:49:57|2026-09-24T02:12:27
2305552.batch|batch|rc_htzhu_pi||c151603|COMPLETED|02:22:30||4||5885820K|2026-09-23T23:49:57|2026-09-23T23:49:57|2026-09-24T02:12:27
2305552.extern|extern|rc_htzhu_pi||c151603|COMPLETED|02:22:30||4|||2026-09-23T23:49:57|2026-09-23T23:49:57|2026-09-24T02:12:27
