JobID,track,JobName,Account,Partition,NodeList,State,Elapsed,Timelimit,ReqCPUS,ReqMem,Submit,Start,End,MaxRSS,max_rss_gb
2301818,D4_Expansion,operon-8492b135,rc_htzhu_pi,spill,c151409,COMPLETED,00:01:53,01:30:00,4,32G,2026-09-23T23:10:40,2026-09-23T23:11:46,2026-09-23T23:13:39,2326728K,2.2189407348632812
2303949,A4a_Scores,operon-ed21f5a5,rc_htzhu_pi,spill,None assigned,CANCELLED by 375767,00:00:00,08:00:00,4,24G,2026-09-23T23:19:34,,2026-09-23T23:26:21,,
2303953,A4a_Scores,operon-59545519,rc_htzhu_pi,spill,None assigned,CANCELLED by 375767,00:00:00,08:00:00,4,24G,2026-09-23T23:19:38,,2026-09-23T23:26:22,,
2303958,A4a_Scores,operon-14024aba,rc_htzhu_pi,spill,None assigned,CANCELLED by 375767,00:00:00,08:00:00,4,24G,2026-09-23T23:19:42,,2026-09-23T23:26:23,,
2305347,D4_Expansion,operon-d0138377,rc_htzhu_pi,spill,c151417,FAILED,00:00:02,00:40:00,4,32G,2026-09-23T23:25:37,2026-09-23T23:27:01,2026-09-23T23:27:03,5356K,0.005107879638671875
2305349,D4_Expansion,operon-16ff13bc,rc_htzhu_pi,spill,c151418,COMPLETED,00:11:32,01:40:00,4,48G,2026-09-23T23:25:40,2026-09-23T23:27:01,2026-09-23T23:38:33,5864004K,5.592350006103516
2305350,D4_Expansion,operon-a0ad0d41,rc_htzhu_pi,spill,c151410,COMPLETED,00:01:41,01:40:00,4,48G,2026-09-23T23:25:43,2026-09-23T23:27:01,2026-09-23T23:28:42,4295752K,4.096748352050781
2305488,A4a_Scores,operon-546adff6,rc_htzhu_pi,spill,c141601,COMPLETED,01:54:26,06:00:00,4,24G,2026-09-23T23:26:26,2026-09-23T23:40:27,2026-09-24T01:34:53,6623768K,6.316917419433594
2305489,A4a_Scores,operon-dd834696,rc_htzhu_pi,spill,c151606,COMPLETED,02:42:07,08:00:00,4,24G,2026-09-23T23:26:30,2026-09-23T23:43:08,2026-09-24T02:25:15,7421532K,7.077724456787109
2305490,A4a_Scores,operon-e2409073,rc_htzhu_pi,spill,c151603,COMPLETED,01:33:06,06:00:00,4,24G,2026-09-23T23:26:33,2026-09-23T23:40:27,2026-09-24T01:13:33,7388612K,7.046329498291016
2305536,A4a_Scores,operon-60ba2069,rc_htzhu_pi,spill,c0411,COMPLETED,02:27:20,06:00:00,4,24G,2026-09-23T23:26:38,2026-09-23T23:44:05,2026-09-24T02:11:25,6957784K,6.635459899902344
