name,value,rule,source
b2_classical_boot_coverage_pooled,0.7110757611798287,mean over classical cells with status ok,B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage_pooled,0.9129495268138801,mean over classical cells with status ok,B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage_pooled,0.04403187440532826,mean over classical cells with status ok,B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC__donor__nL6,0.8062166666666667,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC__donor__nL6,0.8976,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC__donor__nL6,0.027200000000000002,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC__donor__nL8,0.8453166666666667,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC__donor__nL8,0.9063,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC__donor__nL8,0.0275,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC__donor__nL12,0.9091,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC__donor__nL12,0.9375999999999999,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC__donor__nL12,0.03425,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC__spot__nL6,0.8320166666666666,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC__spot__nL6,0.8998499999999999,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC__spot__nL6,0.0461,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC__spot__nL8,0.8825666666666666,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC__spot__nL8,0.9248,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC__spot__nL8,0.049049999999999996,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC__spot__nL12,0.9268666666666667,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC__spot__nL12,0.94915,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC__spot__nL12,0.059500000000000004,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC_merged__donor__nL6,0.8017166666666666,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC_merged__donor__nL6,0.9008999999999999,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC_merged__donor__nL6,0.02245,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC_merged__donor__nL8,0.8406,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC_merged__donor__nL8,0.9047999999999999,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC_merged__donor__nL8,0.025599999999999998,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC_merged__donor__nL12,0.9138833333333334,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC_merged__donor__nL12,0.9408000000000001,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC_merged__donor__nL12,0.0365,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC_merged__spot__nL6,0.8321999999999999,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC_merged__spot__nL6,0.90185,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC_merged__spot__nL6,0.04645,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC_merged__spot__nL8,0.8981333333333333,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC_merged__spot__nL8,0.9337000000000001,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC_merged__spot__nL8,0.0539,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__CCRCC_merged__spot__nL12,0.9269833333333334,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__CCRCC_merged__spot__nL12,0.9471499999999999,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__CCRCC_merged__spot__nL12,0.0604,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_boot_coverage__IDC__donor__nL2,0.6011881188118812,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_cluster_coverage__IDC__donor__nL2,0.9184653465346535,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
b2_classical_iid_coverage__IDC__donor__nL2,0.013762376237623762,"mean over genes, estimands and the three encoder arms; classical estimator",B2_semisynthetic/b2_coverage.csv
