encoder,task,fold,n_train,n_test,n_train_samples,n_common_genes,n_genes_shared,n_fold_genes_used,n_fold_genes_off_panel,genes_off_panel,pearson_pooled_shipped,pearson_pooled_fold,pearson_within_shipped,pearson_within_fold,delta_pooled,delta_within,mean_within_only_in_shipped,mean_within_only_in_fold,genes_only_in_shipped,genes_only_in_fold
hoptimus0,IDC,0,14775,20761,3,280,34,50,0,,0.476598773340711,0.43619681662093596,0.476598773340711,0.43619681662093596,0.040401956719775034,0.040401956719775034,0.5954528648682573,0.46919675011896045,ABCC11;ANKRD30A;AQP1;AQP3;CEACAM8;CLIC6;DST;ESR1;FASN;GATA3;KLF5;SERPINA3;TACSTD2;TCL1A;TOP2A;TPSAB1,APOC1;BANK1;CCL8;CXCL5;GZMA;KRT23;KRT7;LPL;LTB;LYPD3;LYZ;MZB1;S100A8;SFRP4;SPIB;TCIM
hoptimus0,IDC,1,27776,7760,3,278,34,50,0,,0.6454246927150774,0.6617467990824346,0.6454246927150774,0.6617467990824346,-0.016322106367357203,-0.016322106367357203,0.678020932013319,0.7290275144113101,CCR7;CEACAM8;CLIC6;DST;ESR1;GATA3;IL2RG;KIT;MS4A1;MYLK;OXTR;PTPRC;TACSTD2;TCL1A;TOP2A;TPSAB1,AGR3;AR;BANK1;CCDC80;CD19;CENPF;EPCAM;FLNB;LTB;MLPH;MZB1;PGR;RHOH;S100A8;SELL;TPD52
hoptimus0,IDC,2,31526,4010,3,278,38,50,0,,0.5651850388762282,0.5280851897135204,0.5651850388762282,0.5280851897135204,0.03709984916270781,0.03709984916270781,0.6923137982675779,0.537731093422962,CEACAM6;CEACAM8;CYTIP;DST;ERBB2;FASN;KLF5;MYLK;PTPRC;SCD;SLAMF7;TENT5C,AGR3;BANK1;CCL5;CCL8;CD19;KRT23;LTB;MLPH;MYO5B;S100A8;SFRP4;TCIM
hoptimus0,IDC,3,32531,3005,3,278,39,50,0,,0.7031258053811936,0.723928583567281,0.7031258053811936,0.723928583567281,-0.020802778186087334,-0.020802778186087334,0.6669937136555238,0.7615517963195573,CD3E;CEACAM8;DST;ESR1;MMP1;SCD;SCGB2A1;SLAMF7;TACSTD2;TCL1A;TENT5C,ACTG2;AGR3;BANK1;CCL5;CD79B;CXCR4;KRT23;LTB;LYPD3;LYZ;SFRP4
hoptimus0,LUNG,0,1944,3262,1,384,19,28,22,TRAC;TENT5C;MYC;MYH11;SFRP2;VWF;PTGDS;CA4;CCDC39;C6orf118;DES;C7;TNFRSF13B;CYP2F1;SERPINB3;TSPAN19;LGR5;UnassignedCodeword_0438;C1orf194;PRG4;TAT;C20orf85,0.5264949590739767,0.5447614405088533,0.5264949590739767,0.5447614405088533,-0.018266481434876636,-0.018266481434876636,0.5382663649279041,0.6238690724215852,ACE2;ALDH1A3;BBOX1;CAPN8;CD163;CD1A;CD274;CD79A;CDK1;COL5A2;CTSK;CYP2A7;FCER1A;FGFBP1;GPRC5A;LIF;MALL;MARCO;MCEMP1;MEDAG;MKI67;MZB1;PECAM1;PLA2G7;PTPRC;SERPINB2;SNCG;SRPX;TCL1A;TOP2A;UBE2C,CD68;CCL5;SERPINB9;BANK1;CD3E;IL7R;PRDM1;RETN;MLANA
hoptimus0,LUNG,1,3262,1944,1,480,19,22,28,CDK6;IL13RA2;CCL14;IDO1;TFF3;IGHGP;CCL21;FN1;IGHG1;IGKC;CHIT1;IL6;RGS5;ISG15;JCHAIN;APOE;IGHG3;IL1B;IGHG2;IGHG4;RGS1;IGHM;MUC5AC;IGLC3;CXCL11;MMP9;CXCL13;CXCL14,0.5915817316475506,0.5539370986988713,0.5915817316475506,0.5539370986988713,0.03764463294867926,0.03764463294867926,0.6335675280335,0.7493733837702964,ACE2;BBOX1;CAPN8;CD163;CD19;CD1A;CD2;CD274;CDK1;COL5A2;CTSK;CXCR4;CYP2A7;DNAAF1;GPRC5A;LIF;MALL;MCEMP1;MET;MZB1;OGN;PCSK2;PECAM1;PLA2G7;PTPRC;SNCG;SNTN;SOX2;SPIB;SRPX;TCL1A,EPCAM;CRISPLD2;PROX1
hoptimus0,LYMPH_IDC,0,14972,4992,3,10544,24,50,0,,0.3188886046690969,0.2631464241100958,0.3188886046690969,0.2631464241100958,0.0557421805590011,0.0557421805590011,0.3424977495077943,0.2353012484327923,AAMDC;ANKS1B;CCL28;CCNO;CD72;CLNS1A;CROT;CXCL11;CYP4Z1;DAPK1;EPHB3;GTPBP3;IFI44L;MX1;NUDT1;PARD6B;PDZK1IP1;POLD3;PTRH2;QSOX1;RAB38;RSF1;SCRN1;SNCG;TCF7;TMEM64,ABHD8;C19orf33;CA2;CDCA7;CHEK2;CMPK2;CTXN1;DEPDC1;FXYD6;GDF15;GINS4;IDO1;IFIT3;ITGB4;MARVELD3;MCM10;PAK1;PDE5A;SCGB1D2;SCGB2A2;SERPINA3;SLC12A2;SPOCK2;TSPYL5;TTC30A;VLDLR
hoptimus0,LYMPH_IDC,1,14972,4992,3,10920,21,50,0,,0.22424310616449078,0.1804008251801678,0.22424310616449078,0.1804008251801678,0.04384228098432297,0.04384228098432297,0.22636232310335297,0.14971401770003287,ANKS1B;AREG;CCNO;CD22;CD72;CROT;CXCL10;CXCL11;CYP4Z1;DAPK1;HAAO;IFI44L;IGHV3-11;MAPK8IP2;MX2;MYH11;NUDT1;PARD6B;PDZK1IP1;POLD3;PTRH2;RAB38;RSF1;SCRN1;SERPINI1;SNCG;TCF7;TMEM64;ZMAT5,AADAT;ACKR1;AKR7A3;BLK;CES3;CNTNAP2;CR2;DEGS2;ENPP3;FADS1;FAM129C;GZMB;IFIT3;IGHD;IGHG4;IGHJ2;IGHV1-46;IGHV5-10-1;IGLV6-57;KIF16B;KMO;NDRG1;PAQR6;PAX5;PHLDA2;RGS13;S100A7;SLC44A4;TCL1A
hoptimus0,LYMPH_IDC,2,14976,4988,3,10364,16,50,0,,0.273835103040198,0.11893236877660324,0.273835103040198,0.11893236877660324,0.15490273426359474,0.15490273426359474,0.33170024474739807,0.10390210612446461,AAMDC;AKR1E2;ANKS1B;ANO8;CCNO;CLNS1A;CROT;CXCL10;DAPK1;EPHB3;GTPBP3;HAUS8;IFI44L;IFIT2;MAPK8IP2;MX1;MX2;MYH11;NARS2;NUDT1;OASL;PARD6B;PATZ1;PDZK1IP1;POLD3;PTRH2;QSOX1;RAB38;RSAD2;RSF1;SCRN1;SHANK2;SNCG;ZMAT5,ABLIM3;ACTG2;ARHGAP9;CCL19;CCL21;CD37;CD79A;CXCL13;CYFIP2;DEPRECATED_ENSG00000211890;DGKA;EFS;FCMR;FGD2;FOSB;HIST1H4F;IGLV3-1;IKZF3;IRF8;JAK3;LNX1;LTB;NHSL1;PIK3CD;PLIN1;POU2AF1;PTGER3;PTPRCAP;RUBCNL;SEPT1;SFRP2;SP140;TBC1D10C;TRAJ18
hoptimus0,LYMPH_IDC,3,14972,4992,3,10377,23,50,0,,0.21980246429318673,0.28860960619350395,0.21980246429318673,0.28860960619350395,-0.06880714190031723,-0.06880714190031723,0.23725260863786868,0.3646732417866043,AAMDC;ANO8;CCNO;CD22;CD72;CROT;CSTA;DAPK1;EPHB3;GTPBP3;HAAO;HAUS8;IFI44L;MAPK8IP2;MX1;MX2;PARD6B;PATZ1;PDZK1IP1;POLD3;PTRH2;QSOX1;RAB38;RSF1;SERPINI1;SNCG;TCF7,ABHD8;ALDH3B2;APOD;CHEK2;CMPK2;CTXN1;CXCL13;DTNA;GGT1;GGTLC3;HIST1H3E;IFIT3;ITGB4;ITGB6;KYNU;LAD1;MARVELD3;PAK1;PKIB;S100A8;SFRP4;SHISA2;SLC12A2;SLC49A3;SRD5A3;ST6GALNAC2;ZNF486
hoptimus0,PAAD,0,5561,2010,2,109,39,47,3,UnassignedCodeword_0421;UnassignedCodeword_0461;UnassignedCodeword_0474,0.453004893588013,0.4499982153286306,0.453004893588013,0.4499982153286306,0.0030066782593823893,0.0030066782593823893,0.46722803596031376,0.45489746487865834,AIF1;CD14;CD8A;DERL3;FCGR3A;FOXP3;GPR183;HPGDS;MARCO;PLA2G7;VSIG4,CCR2;CD274;CD28;CD3D;CENPF;MZB1;SPIB;VCAN
hoptimus0,PAAD,1,3961,3610,2,374,15,15,35,ALAS2;AMY2A;BMX;C1orf194;CCNB2;CFB;CHGA;COL17A1;DES;FGFBP1;FOXA1;FOXJ1;GCG;GHRL;GPX2;HMGCS2;INS;LGR5;LYVE1;MEDAG;MYH11;PCSK2;PPY;PTGDS;RERGL;RND1;SCGB2A1;SCGN;SELE;SERPINB3;SFRP4;SLC18A2;SST;TFF2;TM4SF4,0.5461169753840509,0.49166649637841203,0.5461169753840509,0.49166649637841203,0.054450479005638874,0.054450479005638874,0.5694531104704333,,ACTA2;AIF1;ANPEP;BANK1;CCL5;CCR7;CD14;CD19;CD1A;CD1C;CD2;CD27;CD3E;CD79A;CD8A;CXCL6;CXCR4;DERL3;EPCAM;ESR1;FCGR3A;FOXP3;GPR183;GZMA;GZMK;HPGDS;IRF8;KLRC1;LIF;LILRA4;PDCD1;SELL;TNFRSF17;UBE2C;VSIG4,
hoptimus0,PAAD,2,5620,1951,2,102,44,49,1,IL1B,0.4739277935729331,0.4674116428434253,0.4739277935729331,0.4674116428434253,0.006516150729507786,0.006516150729507786,0.5563220873777188,0.5089426512070011,CD8A;CDK1;CPA3;FCGR3A;FOXP3;UBE2C,CD274;GZMB;KLRB1;MZB1;SPIB
hoptimus0,PRAD,0,36819,25891,15,1673,12,50,0,,0.38579553055260923,0.3438412030614908,0.3556951683004943,0.2996244958881342,0.04195432749111844,0.05607067241236008,0.3470234461328253,0.2732462455902461,C1orf43;C6orf48;C8orf59;CAT;CCDC47;COX17;COX5A;COX7B;DNAJC3;EIF3E;EIF3H;GNG5;HLA-DRA;HSPD1;IMPDH2;MIF;MPC2;MRPL33;NUCB2;PCBD1;PDIA4;RPL37A;RPN1;RPS29;RSL24D1;SELENOT;SLIRP;SNHG8;SNHG9;SNRPE;SPCS3;SRRM1;SVIP;TMCO1;TOB1;TXNL4A;XBP1;ZFAS1,ACPP;ANXA1;ANXA2;APOD;APP;ATP1B3;CD46;CFD;COL3A1;CYSTM1;DDIT4;F3;FDFT1;GADD45B;GLUL;HES1;ID2;IL32;JAG1;KLF6;KRT19;LAMP2;LDLRAD4;LIFR;MKNK2;MT2A;ODC1;PRSS23;PTGDS;PTPRF;RARRES3;RASD1;RDH11;RGS5;RNASE1;RPL22L1;S100A10;SDC4
hoptimus0,PRAD,1,25891,36819,8,1575,10,50,0,,0.38456515633353583,0.3696856399847224,0.2798483429108445,0.2481009456380665,0.014879516348813404,0.03174739727277798,0.28300564513370835,0.24332139854273582,AMD1;C1orf43;C8orf59;CAT;CCDC47;COX17;COX5A;COX7B;DNAJC3;EIF3E;EIF3H;GLO1;HSPD1;MAOA;MIF;MRPL33;MT1E;MT1X;NUDT4;PCBD1;PDIA4;PERP;REXO2;RPL37A;RPN1;RPS29;RSL24D1;SEC11C;SELENOT;SGK1;SLIRP;SNHG9;SNRPE;SPCS3;SRRM1;SVIP;TMCO1;TOB1;TXNL4A;XBP1,A2M;AGR2;ATP6V0E2;C19orf48;C1QB;CD74;CISD3;CYB5A;CYC1;CYP1B1;HLA-DRB1;IER2;IGFBP2;JUNB;MAGEH1;MARCKSL1;MAZ;NAA10;NPY;NSMCE1;PDCD5;PDLIM5;POLD2;PPA1;PRSS23;RGS2;RHOU;RPL26;RPS18;RTN3;SLC25A39;SLC25A6;SMS;SNHG19;TM7SF2;TNFSF10;TRPM4;TSPAN8;TUBB2A;UQCRH
hoptimus0,READ,0,3819,4588,2,9532,18,50,0,,0.2691980854592791,0.4217593795055928,0.2687069206792967,0.41875116984474103,-0.1525612940463137,-0.15004424916544434,0.1880225747010444,0.42246671402205116,AC010883.3;ADAMDEC1;ANGPTL2;APOC1;BTNL3;CEMIP;CHI3L1;CLU;CXCL9;EFEMP1;FRZB;HMOX1;IGHG2;IGHG4;ITGB2;ITIH5;LAMA3;LOX;MMP9;MXI1;P3H3;PADI2;PLAAT3;PRRG3;PTGDS;SECTM1;SGK1;SMPDL3A;SPHK1;TPSB2;TSPAN9;UBD,ACKR1;AGR3;AHCYL2;B3GNT7;BCAS1;CA12;CCL19;CDHR5;CEACAM7;CES3;COL17A1;COMP;CXCL11;CXCL13;DEFA5;DEFA6;DES;GCNT3;HOXB13;ITLN1;KRT20;LCN2;MUC4;NXPE4;PI16;PI3;PLA2G10;PLAC8;SDCBP2;SLC6A8;SULT1B1;ZG16
hoptimus0,READ,1,4588,3819,2,10041,15,50,0,,0.173707826487684,0.18595534554634555,0.20312927663568503,0.21209841120008902,-0.01224751905866156,-0.008969134564403985,0.20039226722414674,0.21323787264309552,AC010883.3;ADAMDEC1;ANGPTL2;APOC1;BTNL3;CA2;CCL14;CD177;CEMIP;CHI3L1;CLU;CXCL8;EFEMP1;EGLN3;FRZB;HMOX1;ITGB2;ITIH5;LAMA3;LOX;MMP28;MT1F;MXI1;P3H3;PADI2;PDE9A;PLAAT3;PRRG3;SGK1;SLC26A3;SMPDL3A;SPHK1;TPSB2;TSPAN9;UBD,C2orf88;C3;CA4;CCL3;CCL4;CHGA;CLCA4;CLDN8;CSF3;CXCL5;DHRS9;GAL;GREM1;HBA1;HBA2;HBB;IDO1;IGHGP;IL11;IL6;LCN15;LYPD8;MMP10;MMP11;MMP3;MS4A12;MT1H;PKIB;PYY;REG1B;SERPINA3;SI;THBS2;TNC;TRPM6
hoptimus0,SKCM,0,1741,1293,1,281,33,50,0,,0.7078474116396858,0.6983388298397344,0.7078474116396858,0.6983388298397344,0.009508581799951399,0.009508581799951399,0.6321997406768426,0.6042333236181621,AQP3;BIRC3;CD52;CRABP2;GZMK;HAPLN1;HBD;IDO1;ITM2A;LCK;MGP;MYH11;POSTN;TFF3;TYRP1;VIM;VWF,AZGP1;PLVAP;PERP;PTGDS;SFRP2;TFAP2B;NOTCH3;SOSTDC1;CXADR;FABP4;PROX1;PMEL;LYVE1;IL33;AREG;LGALS2;FCER1A
hoptimus0,SKCM,1,1293,1741,1,409,28,44,6,KRT1;ARG1;LOR;COMP;CD207;C3,0.5828334011952084,0.5831053954963917,0.5828334011952084,0.5831053954963917,-0.00027199430118329815,-0.00027199430118329815,0.5397293543891025,0.5243131965882174,ACER1;AHNAK2;BIRC3;CAPNS2;CCL19;CD1B;CD52;FGFBP1;GZMK;HAPLN1;IDO1;ITM2A;LAMB3;LCK;LYZ;MGP;MMRN1;POSTN;TYRP1;VIM;VWF;WDFY4,AZGP1;PERP;CLDN1;KRT15;LYPD3;TACSTD2;TMEM45A;SYNPO2;CXADR;MYL9;CCR7;CD79A;CLDN4;PPP1R14A;MT1X;DCT
