encoder,task,fold,n_train,n_test,n_train_samples,n_common_genes,n_genes_shared,n_fold_genes_used,n_fold_genes_off_panel,genes_off_panel,pearson_pooled_shipped,pearson_pooled_fold,pearson_within_shipped,pearson_within_fold,delta_pooled,delta_within,mean_within_only_in_shipped,mean_within_only_in_fold,genes_only_in_shipped,genes_only_in_fold
uni_v2,CCRCC,0,55849,18371,20,2255,40,50,0,,0.22037802685701713,0.23047345297882277,0.18657459444625782,0.19485043191904686,-0.01009542612180564,-0.008275837472789038,0.16521928656843674,0.206598473932382,BLVRB;CD14;HMOX1;HNRNPK;HSPA1A;IFI27;KRTCAP2;NOTCH3;TFRC;TRBC1,ATP5MPL;EVL;FAM13A;FOXJ3;HMGN3;HPS4;LGMN;LIPA;PDZD8;SMIM3
uni_v2,CCRCC,1,67651,6569,20,2248,43,50,0,,0.2594996015707051,0.2802103151603203,0.2512995871739272,0.2674982270489066,-0.02071071358961518,-0.01619863987497938,0.23470106347865347,0.3504056340142205,BLVRB;CPE;EGFL7;NOTCH3;TFRC;TP53INP1;TRBC1,FOXJ3;HPS4;LAPTM4A;MAF;NDRG1;PDZD8;VAPA
uni_v2,CCRCC,2,63464,10756,20,2265,40,50,0,,0.22769758526152206,0.2161529017239331,0.1320091963142914,0.1361852352323404,0.011544683537588973,-0.004176038918049019,0.1481558271795044,0.16903602176974947,BLVRB;BTF3;CPE;HTRA1;NOTCH3;NT5DC2;SLC39A14;TMEM91;TP53INP1;TRBC1,C1QA;EZR;GLUD1;GRN;HPS4;LAPTM4A;MAFB;PDZD8;PHB;RRAD
uni_v2,CCRCC,3,67098,7122,20,4519,12,50,0,,0.35143101321959597,0.21285954452063258,0.3031854736667452,0.184281514653219,0.1385714686989634,0.11890395901352621,0.32217843038092486,0.16572585273154833,AKAP8;BLVRB;CD109;CD14;CHST15;CIB1;CKB;CPD;CPE;DERL1;DNAJB12;FLNB;GADD45B;H3F3A;HNRNPK;IFI27;IFI6;IRF7;KRTCAP2;LAPTM4B;LRRC41;LY6E;NAMPT;NOL3;NOTCH3;PARP10;PXN;RXRA;SEMA4B;SLC15A4;SLC39A14;STK39;TFRC;TM2D3;TMEM91;TP53INP1;TRBC1;VMP1,ABCB6;ADA2;ANK2;ATP5MPL;BAIAP2;C11orf96;CLEC2B;COX7A1;ENPP2;HLA-DOA;HSPA1B;HYAL2;IER3;IGFBP2;IGFBP6;KCNJ15;KPNA2;LIPA;LRIG1;MAFB;MAGED2;MEGF6;MICOS13;MX1;NAV1;NLRC5;OAS3;PROS1;PTPN18;PYGB;RALA;RRAD;SAMD9L;SDC3;SIGLEC10;SNX7;ST14;TNFRSF6B
uni_v2,CCRCC,4,59472,14748,20,2314,38,50,0,,0.2286815958989937,0.23435337420472466,0.17739904235508758,0.18153816581244558,-0.005671778305730957,-0.004139123457358007,0.1832711941570626,0.20051754189605422,AKAP8;BLVRB;CD14;CPE;HNRNPK;HTRA1;IFI27;KRTCAP2;LY6E;NOTCH3;TMEM91;TP53INP1,APOC1;ATP5MPL;CCND1;CYBB;HMGN3;HPS4;HSF4;MT1X;PDZD8;PGF;PLCG2;SERINC2
uni_v2,CCRCC,5,57566,16654,20,2313,35,50,0,,0.29570304986503176,0.33370429122995715,0.18872615188621086,0.20603082583983703,-0.03800124136492539,-0.01730467395362617,0.2061858015499146,0.26386804806200176,AKAP8;BLVRB;CD109;CD14;CPE;HNRNPK;HTRA1;IFI27;KRTCAP2;NOTCH3;SLC39A14;TFRC;TMEM91;TP53INP1;TRBC1,ALDH18A1;ARL4C;B4GALT1;CD24;CYBB;FOXJ3;HPS4;LIPA;MDK;MMP14;MT1X;PDZD8;RALA;RRAD;SREBF1
uni_v2,COAD,0,5079,10572,1,425,20,43,7,CCL11;CXCL14;SFRP4;CADM2;CXCL1;CDH19;CR2,0.29768120832054856,0.3391767329219752,0.3052301068651044,0.34367862400810234,-0.04149552460142664,-0.03844851714299796,0.32572804855882287,0.40384855181137136,AQP8;AREG;CA1;CA4;CCL20;CCR7;CEACAM6;CEACAM7;CHGB;CHI3L2;CLCA1;CLCA4;COL11A1;DUOX2;GATA2;GCG;GUCA2A;GUCA2B;HEPACAM2;INSL5;ITLN1;MS4A12;NXPE4;OTOP2;RETNLB;SCG2;SLC26A3;TMIGD1;TYMS;UGT2B17,RGS5;CXCR5;IDO1;REG4;SOD3;CEACAM5;FCER2;MFAP5;CLU;PIGR;XCL2;CD79A;MUC12;SPDEF;GZMK;CXCL11;PAX5;CD40LG;ANPEP;SCG3;UCN3;TFF1;MT1A
uni_v2,COAD,1,10572,5079,3,452,32,36,14,CHI3L1;Clonotype1_TRB;DAB2;DES;MMP11;MMP12;MMP7;MUC17;REG1A;REG3A;SPP1;UnassignedCodeword_0175;UnassignedCodeword_0266;UnassignedCodeword_0282,0.3054158382928193,0.3200807848029115,0.3054158382928193,0.3200807848029115,-0.014664946510092203,-0.014664946510092203,0.3492101569144234,0.6344746863592655,AREG;CCL20;CCR7;CD177;CEACAM6;CTSE;DMBT1;GATA2;GUCA2B;HEPACAM2;LCN2;MS4A12;NXPE4;OLFM4;PI3;RETNLB;TYMS;UGT2B17,ANPEP;CA2;CXCL11;LGR5
uni_v2,HCC,0,1941,2255,1,10637,23,50,0,,0.06984180032961124,0.09562437893400279,0.06984180032961124,0.09562437893400279,-0.02578257860439155,-0.02578257860439155,0.0873041250472793,0.13504964098133776,ASPM;BEST1;C11orf96;CAVIN3;CCN1;ETNPPL;FBLN5;IGFBP5;LRRC75A;LTBP2;MCAM;MFAP4;MGP;MUSTN1;MYL9;NDUFA4L2;PDE9A;PHKG1;PPP1R14A;PRELP;RBP7;RND1;S100A4;SPARCL1;TCEAL9;TRBC2;TSPAN13,S100A6;CRP;RGS5;COL3A1;TM4SF1;IGFBP7;JCHAIN;C9;C7;CCDC152;COL1A2;CYP3A4;VIM;ADIRF;SAA2;LUM;CRIP1;IGHG3;NPW;TAT-AS1;COL1A1;FSTL3;NOTCH3;TFF3;CLDN5;IGLC3;TIMP1
uni_v2,HCC,1,2255,1941,1,11464,25,50,0,,0.0796467121903511,0.08138569332391717,0.0796467121903511,0.08138569332391717,-0.0017389811335660615,-0.0017389811335660615,0.07302799408599003,0.07557648264439927,AEBP1;ASPM;BEST1;CAVIN3;CXCL10;ETNPPL;FBLN2;GJA4;IGFBP5;JAG1;LRRC75A;LTBP2;MCAM;MGP;MUSTN1;MYL9;NDUFA4L2;PDE9A;PDZK1IP1;PPP1R14A;PRELP;RBP7;RND1;TCEAL9;TSPAN13,GJA5;REG1A;REG3A;CCDC152;HIST1H1C;PGC;GSTA2;CCN2;AGR2;IGFBP1;IGFBP3;CYP3A7;CCL19;MMP7;POSTN;IGHG4;CEMIP;NPW;MYH11;MT1E;MT1H;COL1A1;GDF15;COMP;CYP2A7
