,dataset,phikon_mean,phikon_std
0,IDC,0.5326500000000001,0.09136488658122438
1,PRAD,0.3421,0.07669999999999999
2,PAAD,0.4424333333333334,0.06955292149787015
3,SKCM,0.53555,0.059750000000000025
4,COAD,0.26239999999999997,0.001700000000000007
5,READ,0.15325,0.08005000000000001
6,CCRCC,0.24231666666666665,0.026300343259272402
7,LUNG,0.5465500000000001,0.0045499999999999985
8,LYMPH_IDC,0.23724999999999996,0.045693134057536465
9,HCC,0.0603,0.012400000000000001
