,dataset,ctranspath_mean,ctranspath_std
0,IDC,0.499375,0.04239978626125375
1,PRAD,0.35514999999999997,0.045149999999999996
2,PAAD,0.43150000000000005,0.07228609824855677
3,SKCM,0.5097499999999999,0.08315
4,COAD,0.23815,0.04665
5,READ,0.0969,0.0822
6,CCRCC,0.2361833333333333,0.04419085186878488
7,LUNG,0.5136999999999999,0.030099999999999988
8,LYMPH_IDC,0.24085,0.03952331590340062
9,HCC,0.052349999999999994,0.015749999999999997
