encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_T,n_C,n_E,score,weighting,subset,alpha,w3_variant,feasible_level,guaranteed_level,K,auc,auc_holdout,clip_rate,clip_rate_test,no_support,classifier_converged,n_eff_median,n_eff_frac,n_C_used,n_E_used,frac_morph_joined,n_infinite,n_spot_gene,frac_infinite,n_test_points_infinite,width_mean_spotgene,width_median,sigma_clip_lo,sigma_clip_hi,sigma_lo_hit_guard,sigma_clip_rate_cal,sigma_clip_rate_test,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,n_cells,n_slides
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,none,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.6070948896088562,1.5745314293057882,,,False,,,0.8831592054939339,1.6070948896088562,1.607094889608856,2.180492107333375,0.0749487665022669,0.0418920280037989,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,none,all,0.2,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.245507561758607,1.2111361706405086,,,False,,,0.7773453862058056,1.245507561758607,1.245507561758607,1.8310731852545443,0.1316523669993061,0.0910022467948883,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,W1,all,0.1,,,,,0.5571885489405741,0.5019397779619097,0.0050134288272157,0.0107234227859125,0,True,10726.716614581388,0.9603148267306524,11170,18371,,0,918550,0.0,0,1.6031823338774671,1.5723075427068105,,,False,,,0.8823121660475993,1.6031774489838715,1.6031588506139351,2.181264160032362,0.0754489056663654,0.0422389282860351,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,W1b,morph_joined,0.1,,,,,0.5075024720152774,0.5012386742229573,0.0050044156608772,0.0054263565891472,0,True,10183.21271324392,0.9992358662784732,10191,16770,0.9126637554585152,0,838500,0.0,0,1.6086037522067729,1.593008574366719,,,False,,,0.8830757836847529,1.6086023662971372,1.6086027868998474,2.1804090404454337,0.0748597100514496,0.0420645062637975,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,none,morph_joined,0.1,,,,,,,0.0,0.0,0,True,10191.0,1.0,10191,16770,0.9126637554585152,0,838500,0.0,0,1.6098961978526447,1.5965129174205974,,,False,,,0.8833416200632875,1.6098961978526445,1.6098961978526447,2.1799990846456314,0.0747134466438838,0.0419449332928286,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,none,morph_joined,0.2,,,,,,,0.0,0.0,0,True,10191.0,1.0,10191,16770,0.9126637554585152,0,838500,0.0,0,1.24613844094073,1.2211424812264773,,,False,,,0.7766349759476648,1.24613844094073,1.24613844094073,1.8318132876306223,0.1317001476992727,0.0916648763530623,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,W2,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.6070948896088562,1.5745314293057882,,,False,,,0.8831592054939339,1.6070948896088562,1.607094889608856,2.180492107333375,0.0749487665022669,0.0418920280037989,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,W3,all,0.1,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.6070948896088562,1.5745314293057882,,,False,,,0.8831592054939339,1.6070948896088562,1.607094889608856,2.180492107333375,0.0749487665022669,0.0418920280037989,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,W3,all,0.2,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.245507561758607,1.2111361706405086,,,False,,,0.7773453862058056,1.245507561758607,1.245507561758607,1.8310731852545443,0.1316523669993061,0.0910022467948883,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,abs,W3,all,8.951750067138126e-05,feasible_level,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,5.010172151545277,4.892570069530255,,,False,,,0.9998793486707954,5.010172151545277,5.010172151545277,5.597432045289994,9.713294287666156e-05,2.3518386327795865e-05,1200,24
