encoder,task,label_set,design,fold,score,weighting,subset,alpha,w3_variant,slide,n_test,n_genes,coverage,width_mean,width_median,interval_score,miss_above,miss_below,n_infinite,n_eff_median,n_eff_frac,auc,auc_holdout,K,no_support,_source,superseded_label_set
hoptimus0,CCRCC,shipped,donor,INT1,scaled_clip,none,morph_joined,0.1,,INT1,1076,50,0.7905885997521686,2.185370499086023,2.186835389294621,3.207201261911932,0.0220570012391573,0.1873543990086741,0,20310.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT1,scaled_clip,none,morph_joined,0.2,,INT1,1076,50,0.6605390334572491,1.6414729196037696,1.6425885626042258,2.7514196150514816,0.0489219330855018,0.2905390334572491,0,20310.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,W1,all,0.1,,INT10,1983,50,0.8864145234493193,2.640210855793234,2.6402108557932333,3.5254753888926933,0.1100084047739115,0.0035770717767692,0,328.36165984959865,0.0158238957086212,1.0,0.9999967939351356,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,W1b,morph_joined,0.1,,INT10,1980,50,0.8364579124579125,2.1921378742638056,2.1909543243492817,3.473437062659137,0.1546969696969697,0.0088451178451178,0,1239.0753326642694,0.070658949171092,0.9577047274754849,0.9577282865147828,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,W2,all,0.1,,INT10,1983,50,0.8118440073962011,2.0827806829682824,2.0827806829682824,3.6513771166367937,0.1794116658261892,0.0087443267776096,0,20751.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,W3,all,0.1,nominal,INT10,1983,50,1.0,,,,0.0,0.0,297450,15932.78178067123,0.767807902302117,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,W3,all,0.1428571428571428,feasible_level,INT10,1983,50,0.9986115313498068,6.044108610860612,6.044108610860612,6.049804893441637,0.0013884686501933,0.0,0,15932.78178067123,0.767807902302117,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,W3,all,0.2,nominal,INT10,1983,50,0.9006925533703143,2.940041421164535,2.940041421164535,3.3270764852951977,0.0977777777777777,0.0015296688519078,0,15932.78178067123,0.767807902302117,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,none,all,0.1,,INT10,1983,50,0.8118440073962011,2.0827806829682824,2.0827806829682824,3.6513771166367937,0.1794116658261892,0.0087443267776096,0,20751.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,none,all,0.2,,INT10,1983,50,0.7070835434526811,1.5773152257339906,1.5773152257339906,2.9546894606619625,0.2641620440410153,0.0287544125063035,0,20751.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,none,morph_joined,0.1,,INT10,1980,50,0.8175420875420876,2.1083880545157085,2.1083880545157085,3.62176490291924,0.1748888888888889,0.0075690235690235,0,17536.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,abs,none,morph_joined,0.2,,INT10,1980,50,0.7081447811447812,1.5737443901996675,1.5737443901996675,2.9453563213774894,0.2641077441077441,0.0277474747474747,0,17536.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,W1,all,0.1,,INT10,1983,50,0.8954378887207934,2.656754569284765,2.684778399773289,3.4740485540305728,0.1037720625315179,0.0007900487476886,0,328.36165984959865,0.0158238957086212,1.0,0.9999967939351356,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,W1b,morph_joined,0.1,,INT10,1980,50,0.8461279461279461,2.17649327908094,2.203632272542305,3.390174195580079,0.1499427609427609,0.0039292929292929,0,1239.0753326642694,0.070658949171092,0.9577047274754849,0.9577282865147828,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,W2,all,0.1,,INT10,1983,50,0.8330307614725164,2.0826077054491328,2.106371354197428,3.484764216997963,0.1651000168095478,0.0018692217179357,0,20751.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,W3,all,0.1,nominal,INT10,1983,50,1.0,,,,0.0,0.0,297450,15932.78178067123,0.767807902302117,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,W3,all,0.1428571428571428,feasible_level,INT10,1983,50,0.999388132459237,8.367743573448498,8.4489953879299,8.370238402273356,0.0006118675407631,0.0,0,15932.78178067123,0.767807902302117,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,W3,all,0.2,nominal,INT10,1983,50,0.900850563119852,2.7552459356567693,2.785976526715777,3.146831474096606,0.0989006555723651,0.0002487813077828,0,15932.78178067123,0.767807902302117,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,none,all,0.1,,INT10,1983,50,0.8330307614725164,2.0826077054491328,2.106371354197428,3.484764216997963,0.1651000168095478,0.0018692217179357,0,20751.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,none,all,0.2,,INT10,1983,50,0.7267708858631703,1.5406914050274758,1.5589451240010443,2.80989842053649,0.2588872079341066,0.0143419062027231,0,20751.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,none,morph_joined,0.1,,INT10,1980,50,0.8372087542087543,2.1111883821548787,2.135724546462149,3.475998939490623,0.1612895622895623,0.0015016835016835,0,17536.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT10,scaled_clip,none,morph_joined,0.2,,INT10,1980,50,0.7282996632996633,1.5392609146936025,1.5579633685649137,2.805973046363337,0.2582861952861953,0.0134141414141414,0,17536.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,W1,all,0.1,,INT11,1439,50,0.8495390317350011,2.547905333215436,2.547905333215436,3.445442319857684,0.0390780634700023,0.1113829047949965,0,213.93568600831333,0.0114007826276745,1.0,0.9995858349023647,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,W1b,morph_joined,0.1,,INT11,1422,50,0.8726629160806376,2.3074035139664573,2.306978779459178,3.002105461932366,0.0468354430379746,0.0805016408813877,0,1711.047723385091,0.109528083688714,0.9042794106763858,0.9008292067463732,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,W2,all,0.1,,INT11,1439,50,0.7897567755385685,2.0161141857000104,2.0161141857000104,3.3868946727551528,0.059921241602965,0.1503219828584665,0,18765.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,W3,all,0.1,nominal,INT11,1439,50,1.0,,,,0.0,0.0,215850,14677.46994970487,0.7821726591902408,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,W3,all,0.1428571428571428,feasible_level,INT11,1439,50,0.999772990502664,5.590475861873451,5.590475861873451,5.590927694162891,0.000203845262914,2.316423442205235e-05,0,14677.46994970487,0.7821726591902408,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,W3,all,0.2,nominal,INT11,1439,50,0.8905721565902246,2.8352680557307206,2.8352680557307206,3.142746127303885,0.0304378040305767,0.0789900393791985,0,14677.46994970487,0.7821726591902408,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,none,all,0.1,,INT11,1439,50,0.7897567755385685,2.0161141857000104,2.0161141857000104,3.3868946727551528,0.059921241602965,0.1503219828584665,0,18765.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,none,all,0.2,,INT11,1439,50,0.6550428538336808,1.514860556303231,1.514860556303231,2.810503558958598,0.1049293490850127,0.2400277970813064,0,18765.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,none,morph_joined,0.1,,INT11,1422,50,0.7973980309423347,2.0333470995880827,2.0333470995880827,3.3293479068527243,0.0586029067041725,0.1439990623534927,0,15622.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,abs,none,morph_joined,0.2,,INT11,1422,50,0.6553774027191749,1.516884833775518,1.516884833775518,2.791038509155014,0.1050023441162681,0.2396202531645569,0,15622.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,W1,all,0.1,,INT11,1439,50,0.8917998610145935,2.7536084085447587,2.8063863009883567,3.376937262187933,0.0404540189946722,0.0677461199907343,0,213.93568600831333,0.0114007826276745,1.0,0.9995858349023647,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,W1b,morph_joined,0.1,,INT11,1422,50,0.9029535864978904,2.431798608112349,2.474777345098324,2.9923090900745546,0.0517862165963431,0.0452601969057665,0,1711.047723385091,0.109528083688714,0.9042794106763858,0.9008292067463732,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,W2,all,0.1,,INT11,1439,50,0.8580403057678945,2.276463390965912,2.3194742429341364,3.160138140833064,0.057076673615937,0.0848830206161686,0,18765.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,W3,all,0.1,nominal,INT11,1439,50,1.0,,,,0.0,0.0,215850,14677.46994970487,0.7821726591902408,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,W3,all,0.1428571428571428,feasible_level,INT11,1439,50,0.99984248320593,8.796481781880367,8.97480167168962,8.796962516486097,0.0001575167940699,0.0,0,14677.46994970487,0.7821726591902408,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,W3,all,0.2,nominal,INT11,1439,50,0.9268844104702338,2.9451563461571,3.0017121533221456,3.1580962120858773,0.0336391012277044,0.0394764883020616,0,14677.46994970487,0.7821726591902408,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,none,all,0.1,,INT11,1439,50,0.8580403057678945,2.276463390965912,2.3194742429341364,3.160138140833064,0.057076673615937,0.0848830206161686,0,18765.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,none,all,0.2,,INT11,1439,50,0.727945332406764,1.7343154435429862,1.766895889257012,2.6426724535173087,0.0946814917766967,0.1773731758165392,0,18765.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,none,morph_joined,0.1,,INT11,1422,50,0.8629442100328176,2.288236470653331,2.3287148716763384,3.1381906868364795,0.0560384435067979,0.0810173464603844,0,15622.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT11,scaled_clip,none,morph_joined,0.2,,INT11,1422,50,0.729676511954993,1.7340248978453994,1.76459885959781,2.630828313988279,0.0958180965775902,0.1745053914674167,0,15622.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,W1,all,0.1,,INT12,1451,50,0.867728003675626,2.289816535141739,2.289816535141739,2.8755453633301324,0.0120928095566276,0.1201791867677463,0,259.0484533597136,0.0134389112554323,1.0,0.9999334018179876,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,W1b,morph_joined,0.1,,INT12,1450,50,0.8662390804597702,2.3607965940214863,2.364044898671203,2.996492119676591,0.0121471264367816,0.1216137931034482,0,825.438136899957,0.0513300253031501,0.9822011840917424,0.9819560956991968,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,W2,all,0.1,,INT12,1451,50,0.8158603262118079,2.103339545144069,2.103339545144069,3.0963322317807758,0.0169630140133241,0.1671766597748679,0,19276.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,W3,all,0.1,nominal,INT12,1451,50,1.0,,,,0.0,0.0,217650,15912.254698893888,0.8254956785066346,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,W3,all,0.1428571428571428,feasible_level,INT12,1451,50,0.9996094647369632,5.336135833245852,5.336135833245852,5.337544312847496,0.0002710774178727,0.0001194578451642,0,15912.254698893888,0.8254956785066346,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,W3,all,0.2,nominal,INT12,1451,50,0.8833172524695613,2.4140435084680494,2.4140435084680494,2.6911303334104155,0.0093544681828623,0.1073282793475764,0,15912.254698893888,0.8254956785066346,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,none,all,0.1,,INT12,1451,50,0.8158603262118079,2.103339545144069,2.103339545144069,3.0963322317807758,0.0169630140133241,0.1671766597748679,0,19276.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,none,all,0.2,,INT12,1451,50,0.6864507236388697,1.6384525005856891,1.6384525005856891,2.639845061708493,0.0366276131403629,0.2769216632207673,0,19276.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,none,morph_joined,0.1,,INT12,1450,50,0.8126252873563218,2.067457453323461,2.067457453323461,3.0626154026570416,0.0173333333333333,0.1700413793103448,0,16081.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,abs,none,morph_joined,0.2,,INT12,1450,50,0.6800781609195403,1.605563825697904,1.605563825697904,2.6234785354859653,0.0384781609195402,0.2814436781609195,0,16081.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,W1,all,0.1,,INT12,1451,50,0.8864782908339076,2.35243725600315,2.338167454122277,2.9053238043968297,0.0113255226280725,0.1021961865380197,0,259.0484533597136,0.0134389112554323,1.0,0.9999334018179876,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,W1b,morph_joined,0.1,,INT12,1450,50,0.9158252873563216,2.587728879350648,2.573105142889278,3.005021763759109,0.0091954022988505,0.0749793103448275,0,825.438136899957,0.0513300253031501,0.9822011840917424,0.9819560956991968,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,W2,all,0.1,,INT12,1451,50,0.8918079485412359,2.44043916702228,2.4258313648702003,3.027441501879324,0.0105858028945554,0.0976062485642085,0,19276.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,W3,all,0.1,nominal,INT12,1451,50,1.0,,,,0.0,0.0,217650,15912.254698893888,0.8254956785066346,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,W3,all,0.1428571428571428,feasible_level,INT12,1451,50,0.9998391913622788,8.958782710838811,8.911405065102812,8.959416753477194,0.0001470250402021,1.3783597518952448e-05,0,15912.254698893888,0.8254956785066346,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,W3,all,0.2,nominal,INT12,1451,50,0.9316838961635654,2.726118956024586,2.7099875536617755,2.902582969545477,0.0061291063634275,0.0621869974730071,0,15912.254698893888,0.8254956785066346,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,none,all,0.1,,INT12,1451,50,0.8918079485412359,2.44043916702228,2.4258313648702003,3.027441501879324,0.0105858028945554,0.0976062485642085,0,19276.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,none,all,0.2,,INT12,1451,50,0.7592648747989892,1.868039487863186,1.856821202253429,2.5470691459611343,0.0263864001837813,0.2143487250172294,0,19276.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,none,morph_joined,0.1,,INT12,1450,50,0.8883770114942529,2.3613962797889982,2.34740621870421,2.9628189099766598,0.0112137931034482,0.1004091954022988,0,16081.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT12,scaled_clip,none,morph_joined,0.2,,INT12,1450,50,0.7498114942528735,1.812101577525662,1.801336869173069,2.516770115949044,0.028087356321839,0.2221011494252874,0,16081.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT13,abs,W1,all,0.1,,INT13,4359,50,0.87696872371339,1.975809454906656,1.975809454906656,2.756237010032496,0.1114796971782518,0.0115515791083581,0,413.8008972795276,0.0280295940716336,1.0,1.0,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT13,abs,W1b,morph_joined,0.1,,INT13,4348,50,0.8873765716038026,2.032735484572372,2.03272937430964,2.7346368154616685,0.1021634467954615,0.0104599816007359,0,8408.997742013102,0.6332076612961673,0.6853656749814344,0.6881278333204021,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT13,abs,W2,all,0.1,,INT13,4359,50,0.8976386021258698,2.121428345670901,2.121428345670901,2.7579481290530588,0.093435803318804,0.0089255945553261,0,14763.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT13,abs,W3,all,0.1,nominal,INT13,4359,50,1.0,,,,0.0,0.0,653850,12226.538989762075,0.8281879692313268,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT13,abs,W3,all,0.1428571428571428,feasible_level,INT13,4359,50,0.9984063623155156,5.02706084181151,5.02706084181151,5.032182932392636,0.0015936376844842,0.0,0,12226.538989762075,0.8281879692313268,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT13,abs,W3,all,0.2,nominal,INT13,4359,50,0.9317702837042136,2.430841662468122,2.4308416624681217,2.6302953599128154,0.0637378603655272,0.0044918559302592,0,12226.538989762075,0.8281879692313268,,,6.0,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT13,abs,none,all,0.1,,INT13,4359,50,0.8976386021258698,2.121428345670901,2.121428345670901,2.7579481290530588,0.093435803318804,0.0089255945553261,0,14763.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,donor,INT13,abs,none,all,0.2,,INT13,4359,50,0.8112716984017742,1.651575440981771,1.651575440981771,2.270437375014643,0.1582121281639519,0.0305161734342739,0,14763.0,1.0,,,,0,a3_by_slide__hoptimus0__main.csv,False
