encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_T,n_C,n_E,weighting,auc,auc_holdout,clip_rate,clip_rate_test,no_support,K,converged,n_eff,n_eff_frac,w_C_min,w_C_max,all_positive_finite,difference_list,clip_value,frac_joined,detail,_source,superseded_label_set
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,none,,,0.0,0.0,0,,True,11170.0,1.0,1.0,1.0,True,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,W1,0.5571885489405741,0.5019397779619097,0.0050134288272157,0.0107234227859125,0,,True,10726.716614581388,0.9603148267306524,0.2688148924221202,1.0088875943542903,True,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",1.0088875943542903,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,W1b,0.5075024720152774,0.5012386742229573,0.0050044156608772,0.0054263565891472,0,,True,10183.21271324392,0.9992358662784732,0.5578665659950687,0.6453889444094937,True,"sees tissue composition only: nuclear count, mean and median nuclear area and the five class fractions. It cannot see the slide as an image. Fitted and evaluated on the morphology-joined subset of spots, with `none` reported on that same subset beside it so the comparison is like for like.",0.6453889444094937,0.9126637554585152,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,none_sub,,,0.0,0.0,0,,True,10191.0,1.0,1.0,1.0,True,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,,0.9126637554585152,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,W2,,,0.0,0.0,0,,True,11170.0,1.0,1.0,1.0,True,"sees resolution group and, where the task definition defines it, capture session. Nothing else. On every task but PRAD the session field is null for every sample, so the cell is the resolution group alone.",,,"1 calibration cells, 1 test cells",a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,W3,,,0.0,0.0,0,11170.0,True,11170.0,1.0,1.0,1.0,True,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,none,,,0.0,0.0,0,,True,11170.0,1.0,1.0,1.0,True,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,W1,0.5548066566126101,0.4971931324398714,0.0050134288272157,0.0106689891677099,0,,True,10772.041729715713,0.96437258099514,0.2542259708026482,0.9953834612237455,True,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",0.9953834612237455,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,W1b,0.5105392547013425,0.5067484596957634,0.0050039246467817,0.0063953140876217,0,,True,10181.254849836749,0.9989457270247986,0.3186951636815504,0.650374999493889,True,"sees tissue composition only: nuclear count, mean and median nuclear area and the five class fractions. It cannot see the slide as an image. Fitted and evaluated on the morphology-joined subset of spots, with `none` reported on that same subset beside it so the comparison is like for like.",0.650374999493889,0.911377407670695,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,none_sub,,,0.0,0.0,0,,True,10192.0,1.0,1.0,1.0,True,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,,0.911377407670695,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,W2,,,0.0,0.0,0,,True,11170.0,1.0,1.0,1.0,True,"sees resolution group and, where the task definition defines it, capture session. Nothing else. On every task but PRAD the session field is null for every sample, so the cell is the resolution group alone.",,,"1 calibration cells, 1 test cells",a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,W3,,,0.0,0.0,0,11170.0,True,11170.0,1.0,1.0,1.0,True,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,none,,,0.0,0.0,0,,True,11170.0,1.0,1.0,1.0,True,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,W1,0.5565135428356757,0.4997996445098326,0.0050134288272157,0.0094714495672527,0,,True,10752.682835289068,0.9626394660061832,0.2732273384801442,1.0218479578922928,True,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",1.0218479578922928,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,W1b,0.5068086063944,0.4999049823435855,0.0050152424033828,0.0052947825569635,0,,True,10160.463414391816,0.9991605285074066,0.4562452718902707,0.6435880432898535,True,"sees tissue composition only: nuclear count, mean and median nuclear area and the five class fractions. It cannot see the slide as an image. Fitted and evaluated on the morphology-joined subset of spots, with `none` reported on that same subset beside it so the comparison is like for like.",0.6435880432898535,0.913239226837277,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,none_sub,,,0.0,0.0,0,,True,10169.0,1.0,1.0,1.0,True,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,,0.913239226837277,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,W2,,,0.0,0.0,0,,True,11170.0,1.0,1.0,1.0,True,"sees resolution group and, where the task definition defines it, capture session. Nothing else. On every task but PRAD the session field is null for every sample, so the cell is the resolution group alone.",,,"1 calibration cells, 1 test cells",a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,W3,,,0.0,0.0,0,11170.0,True,11170.0,1.0,1.0,1.0,True,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,3,0,spot,35996,11170,18371,none,,,0.0,0.0,0,,True,11170.0,1.0,1.0,1.0,True,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,,,,a3_weights__hoptimus0__main.csv,False
hoptimus0,CCRCC,shipped,random,0,3,0,spot,35996,11170,18371,W1,0.5560145225189734,0.5013185375511098,0.0050134288272157,0.0111044581133307,0,,True,10731.529706248682,0.9607457212398104,0.2409852313705864,1.0104298981345543,True,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",1.0104298981345543,,,a3_weights__hoptimus0__main.csv,False
