encoder,task,adjacency,slide_identity,total_leak
hoptimus0,CCRCC,0.030298091906135777,0.03196004140158448,0.06225813330772026
hoptimus0,COAD,0.03401433974504475,0.29752511034409207,0.3315394500891368
hoptimus0,HCC,0.06439996883273127,0.11010948270559315,0.17450945153832442
hoptimus0,IDC,0.026553755253553413,0.09364994838833807,0.12020370364189148
hoptimus0,LUNG,0.020100906491279602,0.16886767745018005,0.18896858394145966
hoptimus0,LYMPH_IDC,0.031837581656873226,0.08112107310444117,0.11295865476131439
hoptimus0,PAAD,0.022431986861758735,0.14271542562378775,0.16514741248554649
hoptimus0,PRAD,0.026366425856300002,0.07888580552315805,0.10525223137945805
hoptimus0,READ,0.0516345009207726,0.12583505213260648,0.17746955305337908
hoptimus0,SKCM,0.02921468615531919,0.14548771679401395,0.17470240294933315
uni_v2,CCRCC,0.030750670783648598,0.021386813322897075,0.05213748410654567
uni_v2,COAD,0.03335223868489268,0.29418038278818126,0.32753262147307394
uni_v2,HCC,0.05909497067332267,0.11277750730514521,0.17187247797846789
uni_v2,IDC,0.02554968893527987,0.0940383620560169,0.11958805099129677
uni_v2,LUNG,0.019317048788070612,0.16092328131198885,0.18024033010005946
uni_v2,LYMPH_IDC,0.03004102222621441,0.06402806118130683,0.09406908340752124
uni_v2,PAAD,0.022765394051869725,0.12677516142527256,0.1495405554771423
uni_v2,PRAD,0.022145009850678243,0.09170201635798031,0.11384702620865855
uni_v2,READ,0.04901220910251142,0.1073011290282011,0.15631333813071252
uni_v2,SKCM,0.028435170650482178,0.1265026599168777,0.15493783056735988
virchow,CCRCC,0.031976071616574925,0.02410956494200539,0.056085636558580315
virchow,COAD,0.03560175299644475,0.28973089506228766,0.3253326480587324
virchow,HCC,0.06511241346597671,0.0995127938687801,0.16462520733475683
virchow,IDC,0.02792255505919461,0.10194766223430629,0.1298702172935009
virchow,LUNG,0.021813425421714827,0.15831054747104645,0.18012397289276127
virchow,LYMPH_IDC,0.031401610374450606,0.0680561797693372,0.0994577901437878
virchow,PAAD,0.02285855611165355,0.12052250504493722,0.14338106115659077
virchow,PRAD,0.024583092007948004,0.09851883214129054,0.12310192414923854
virchow,READ,0.053411715105176005,0.12586710415780544,0.17927881926298145
virchow,SKCM,0.03244222104549399,0.1597078919410706,0.1921501129865646
