encoder,task,n_spots,n_samples,embed_dim,balanced_acc,accuracy,chance,lift,excess
gigapath,CCRCC,74220,24,1536,0.9935473002716483,0.9957783167160693,0.041666666666666664,23.84513520651956,0.9518806336049817
gigapath,COAD,15651,4,1536,0.9978708046465179,0.998083475298126,0.25,3.9914832185860716,0.7478708046465179
gigapath,HCC,4196,2,1536,1.0,1.0,0.5,2.0,0.5
gigapath,IDC,35536,4,1536,0.9988468688132743,0.9984054028702748,0.25,3.9953874752530973,0.7488468688132743
gigapath,LUNG,5206,2,1536,1.0,1.0,0.5,2.0,0.5
gigapath,LYMPH_IDC,19964,4,1536,0.9828072902907977,0.982804674457429,0.25,3.931229161163191,0.7328072902907977
gigapath,PAAD,7571,3,1536,0.9976939779518972,0.9977992957746479,0.3333333333333333,2.9930819338556915,0.6643606446185639
gigapath,PRAD,62710,23,1536,0.9689174338235371,0.9702333492797534,0.043478260869565216,22.285100977941354,0.9254391729539719
gigapath,READ,8407,4,1536,0.9855311167683569,0.9845422116527943,0.25,3.9421244670734277,0.7355311167683569
gigapath,SKCM,3034,2,1536,1.0,1.0,0.5,2.0,0.5
virchow,CCRCC,74220,24,2560,0.9943936917162258,0.9964969011048235,0.041666666666666664,23.86544860118942,0.9527270250495592
virchow,COAD,15651,4,2560,0.9992985438873296,0.9993611584327087,0.25,3.9971941755493186,0.7492985438873296
virchow,HCC,4196,2,2560,0.999261447562777,0.9992057188244639,0.5,1.998522895125554,0.499261447562777
virchow,IDC,35536,4,2560,0.9999197174052665,0.9998124003376794,0.25,3.999678869621066,0.7499197174052665
virchow,LUNG,5206,2,2560,1.0,1.0,0.5,2.0,0.5
virchow,LYMPH_IDC,19964,4,2560,0.981303502709495,0.9813021702838064,0.25,3.92521401083798,0.731303502709495
virchow,PAAD,7571,3,2560,1.0,1.0,0.3333333333333333,3.0,0.6666666666666667
virchow,PRAD,62710,23,2560,0.9791593030839371,0.9804922128315526,0.043478260869565216,22.520663970930553,0.9356810422143719
virchow,READ,8407,4,2560,0.9942000264900168,0.9936583432421721,0.25,3.9768001059600673,0.7442000264900168
virchow,SKCM,3034,2,2560,0.9990439770554493,0.9989023051591658,0.5,1.9980879541108987,0.49904397705544934
virchow2,CCRCC,74220,24,2560,0.9958888800232626,0.9973053085421719,0.041666666666666664,23.901333120558302,0.954222213356596
virchow2,COAD,15651,4,2560,0.9990629171201288,0.9991482112436116,0.25,3.9962516684805154,0.7490629171201288
virchow2,HCC,4196,2,2560,1.0,1.0,0.5,2.0,0.5
virchow2,IDC,35536,4,2560,0.9997721877917486,0.9996248006753587,0.25,3.9990887511669944,0.7497721877917486
virchow2,LUNG,5206,2,2560,0.9994892747701736,0.9993597951344431,0.5,1.9989785495403471,0.4994892747701736
virchow2,LYMPH_IDC,19964,4,2560,0.9821372792957455,0.9821368948247079,0.25,3.928549117182982,0.7321372792957455
virchow2,PAAD,7571,3,2560,0.998246769549465,0.9982394366197183,0.3333333333333333,2.994740308648395,0.6649134362161317
virchow2,PRAD,62710,23,2560,0.9820786459296249,0.9828841758358582,0.043478260869565216,22.587808856381372,0.9386003850600597
virchow2,READ,8407,4,2560,0.9975169787361695,0.9976218787158145,0.25,3.990067914944678,0.7475169787361695
virchow2,SKCM,3034,2,2560,1.0,1.0,0.5,2.0,0.5
hoptimus0,CCRCC,74220,24,1536,0.9961036234340795,0.9976196892122519,0.041666666666666664,23.90648696241791,0.9544369567674129
hoptimus0,COAD,15651,4,1536,0.9990683413090607,0.9991482112436116,0.25,3.996273365236243,0.7490683413090607
hoptimus0,HCC,4196,2,1536,1.0,1.0,0.5,2.0,0.5
hoptimus0,IDC,35536,4,1536,1.0,1.0,0.25,4.0,0.75
hoptimus0,LUNG,5206,2,1536,0.9994892747701736,0.9993597951344431,0.5,1.9989785495403471,0.4994892747701736
hoptimus0,LYMPH_IDC,19964,4,1536,0.9798010538114992,0.9797996661101837,0.25,3.9192042152459967,0.7298010538114992
hoptimus0,PAAD,7571,3,1536,0.9991233847747324,0.9991197183098591,0.3333333333333333,2.9973701543241975,0.665790051441399
hoptimus0,PRAD,62710,23,1536,0.9841916652791751,0.9851698293733057,0.043478260869565216,22.636408301421028,0.9407134044096099
hoptimus0,READ,8407,4,1536,0.9985031720300552,0.998414585810543,0.25,3.994012688120221,0.7485031720300552
hoptimus0,SKCM,3034,2,1536,1.0,1.0,0.5,2.0,0.5
