encoder,held_task,n_genes_shared,n_ctrl_excluded,n_train_across,n_test,n_folds_within,n_train_within,pearson_within,pearson_across,pearson_across_matched,across_task_shift,across_task_shift_matched,train_tasks
phikon,COAD,14,61,51347,15651,2,7825,0.5459293723106384,0.5105934143066406,0.5102672874927521,0.0353359580039978,0.03566208481788635,IDC|LUNG|PAAD|SKCM
phikon,IDC,14,61,31462,35536,4,26652,0.5772224217653275,0.5112224817276001,0.46947866678237915,0.06599994003772736,0.1077437549829483,COAD|LUNG|PAAD|SKCM
phikon,LUNG,14,61,61792,5206,2,2603,0.6706909537315369,0.6502998471260071,0.6686322391033173,0.020391106605529785,0.0020587146282196045,COAD|IDC|PAAD|SKCM
phikon,PAAD,14,61,59427,7571,3,5047,0.48541249831517536,0.5199359655380249,0.513512372970581,-0.034523467222849546,-0.0280998746554057,COAD|IDC|LUNG|SKCM
phikon,SKCM,14,61,63964,3034,2,1517,0.6023097336292267,0.6947885751724243,0.6447428464889526,-0.09247884154319763,-0.04243311285972595,COAD|IDC|LUNG|PAAD
