encoder,task,design,fold,n_train,n_test,n_genes,alpha,pearson,n_test_samples
hoptimus0,LYMPH_IDC,random_spot,0,14972,4992,50,0.0078125,0.6860952973365784,4
hoptimus0,LYMPH_IDC,random_spot,1,14972,4992,50,0.0078125,0.6871169805526733,4
hoptimus0,LYMPH_IDC,random_spot,2,14976,4988,50,0.0078125,0.6846625804901123,4
hoptimus0,LYMPH_IDC,random_spot,3,14972,4992,50,0.0078125,0.6898562908172607,4
hoptimus0,LYMPH_IDC,leave_one_sample,0,14972,4992,50,0.0078125,0.2198028564453125,1
hoptimus0,LYMPH_IDC,leave_one_sample,1,14976,4988,50,0.0078125,0.27357834577560425,1
hoptimus0,LYMPH_IDC,leave_one_sample,2,14972,4992,50,0.0078125,0.22418199479579926,1
hoptimus0,LYMPH_IDC,leave_one_sample,3,14972,4992,50,0.0078125,0.31898051500320435,1
hoptimus0,PAAD,patient,0,5561,2010,50,0.0078125,0.45301783084869385,1
hoptimus0,PAAD,patient,1,3961,3610,50,0.0078125,0.5464898943901062,1
hoptimus0,PAAD,patient,2,5620,1951,50,0.0078125,0.4739361107349396,1
hoptimus0,PAAD,random_spot,0,5561,2010,50,0.0078125,0.7623098492622375,3
hoptimus0,PAAD,random_spot,1,3961,3610,50,0.0078125,0.7560253143310547,3
hoptimus0,PAAD,random_spot,2,5620,1951,50,0.0078125,0.7698667645454407,3
hoptimus0,PAAD,leave_one_sample,0,5561,2010,50,0.0078125,0.45301783084869385,1
hoptimus0,PAAD,leave_one_sample,1,5620,1951,50,0.0078125,0.4739361107349396,1
hoptimus0,PAAD,leave_one_sample,2,3961,3610,50,0.0078125,0.5464898943901062,1
hoptimus0,PRAD,patient,0,36819,25891,50,0.0078125,0.3848876953125,8
hoptimus0,PRAD,patient,1,25891,36819,50,0.0078125,0.38453540205955505,15
hoptimus0,PRAD,random_spot,0,36819,25891,50,0.0078125,0.5904129147529602,23
hoptimus0,PRAD,random_spot,1,25891,36819,50,0.0078125,0.5880795121192932,23
hoptimus0,PRAD,leave_one_sample,0,58961,3749,50,0.0078125,0.1821649670600891,1
hoptimus0,PRAD,leave_one_sample,1,60775,1935,50,0.0078125,0.5191757082939148,1
hoptimus0,PRAD,leave_one_sample,2,60916,1794,50,0.0078125,0.5174411535263062,1
hoptimus0,PRAD,leave_one_sample,3,59713,2997,50,0.0078125,0.3538396954536438,1
hoptimus0,PRAD,leave_one_sample,4,58894,3816,50,0.0078125,0.27479830384254456,1
hoptimus0,PRAD,leave_one_sample,5,58636,4074,50,0.0078125,0.14417418837547302,1
hoptimus0,PRAD,leave_one_sample,6,61292,1418,50,0.0078125,0.44166824221611023,1
hoptimus0,PRAD,leave_one_sample,7,60746,1964,50,0.0078125,0.3811315894126892,1
hoptimus0,PRAD,leave_one_sample,8,60375,2335,50,0.0078125,0.3395829498767853,1
hoptimus0,PRAD,leave_one_sample,9,61077,1633,50,0.0078125,0.30017945170402527,1
hoptimus0,PRAD,leave_one_sample,10,60859,1851,50,0.0078125,0.4078764021396637,1
hoptimus0,PRAD,leave_one_sample,11,60959,1751,50,0.0078125,0.5685227513313293,1
hoptimus0,PRAD,leave_one_sample,12,60110,2600,50,0.0078125,0.4732713997364044,1
hoptimus0,PRAD,leave_one_sample,13,59628,3082,50,0.0078125,0.20922230184078217,1
hoptimus0,PRAD,leave_one_sample,14,60890,1820,50,0.0078125,0.3981974422931671,1
hoptimus0,PRAD,leave_one_sample,15,59974,2736,50,0.0078125,0.5604076981544495,1
hoptimus0,PRAD,leave_one_sample,16,59156,3554,50,0.0078125,0.39161673188209534,1
hoptimus0,PRAD,leave_one_sample,17,59520,3190,50,0.0078125,0.49824047088623047,1
hoptimus0,PRAD,leave_one_sample,18,59618,3092,50,0.0078125,0.2898617386817932,1
hoptimus0,PRAD,leave_one_sample,19,58854,3856,50,0.0078125,0.027218041941523552,1
hoptimus0,PRAD,leave_one_sample,20,58631,4079,50,0.0078125,0.36605995893478394,1
hoptimus0,PRAD,leave_one_sample,21,59935,2775,50,0.0078125,0.48849934339523315,1
hoptimus0,PRAD,leave_one_sample,22,60101,2609,50,0.0078125,0.20063279569149017,1
hoptimus0,READ,patient,0,3819,4588,50,0.0078125,0.26922327280044556,2
hoptimus0,READ,patient,1,4588,3819,50,0.0078125,0.17406223714351654,2
hoptimus0,READ,random_spot,0,3819,4588,50,0.0078125,0.5215027928352356,4
hoptimus0,READ,random_spot,1,4588,3819,50,0.0078125,0.5275974273681641,4
hoptimus0,READ,leave_one_sample,0,6716,1691,50,0.0078125,0.3819805979728699,1
hoptimus0,READ,leave_one_sample,1,6279,2128,50,0.0078125,0.3163253664970398,1
hoptimus0,READ,leave_one_sample,2,6022,2385,50,0.0078125,0.32161059975624084,1
hoptimus0,READ,leave_one_sample,3,6204,2203,50,0.0078125,0.3348442018032074,1
hoptimus0,SKCM,patient,0,1741,1293,50,0.0078125,0.7078892588615417,1
hoptimus0,SKCM,patient,1,1293,1741,50,0.0078125,0.5830536484718323,1
hoptimus0,SKCM,random_spot,0,1741,1293,50,0.0078125,0.8508175611495972,2
hoptimus0,SKCM,random_spot,1,1293,1741,50,0.0078125,0.8465211391448975,2
hoptimus0,SKCM,leave_one_sample,0,1293,1741,50,0.0078125,0.5830536484718323,1
hoptimus0,SKCM,leave_one_sample,1,1741,1293,50,0.0078125,0.7078892588615417,1
