task,encoder,fold,n_train,n_test,alpha_50,alpha_40,r_all50,r_sub40_formula,r_sub40_fixed,max_abs_pred_diff_fixed,max_abs_pred_diff_formula
READ,hoptimus0,0,3819,4588,0.0078125,0.009765625,0.27055925130844116,0.27055925130844116,0.27055925130844116,6.198883056640625e-06,6.67572021484375e-06
READ,hoptimus0,1,4588,3819,0.0078125,0.009765625,0.17436611652374268,0.17436614632606506,0.17436613142490387,2.1457672119140625e-06,2.384185791015625e-06
