encoder,task,design,fold,n_train,n_test,n_genes,alpha,pearson,n_test_samples
resnet50,LYMPH_IDC,random_spot,0,14972,4992,50,0.0078125,0.6287903785705566,4
resnet50,LYMPH_IDC,random_spot,1,14972,4992,50,0.0078125,0.628764808177948,4
resnet50,LYMPH_IDC,random_spot,2,14976,4988,50,0.0078125,0.6276309490203857,4
resnet50,LYMPH_IDC,random_spot,3,14972,4992,50,0.0078125,0.6306440830230713,4
resnet50,LYMPH_IDC,leave_one_sample,0,14972,4992,50,0.0078125,0.1779884099960327,1
resnet50,LYMPH_IDC,leave_one_sample,1,14976,4988,50,0.0078125,0.2524821162223816,1
resnet50,LYMPH_IDC,leave_one_sample,2,14972,4992,50,0.0078125,0.1968197226524353,1
resnet50,LYMPH_IDC,leave_one_sample,3,14972,4992,50,0.0078125,0.2947629690170288,1
resnet50,PAAD,patient,0,5561,2010,50,0.0078125,0.3299010396003723,1
resnet50,PAAD,patient,1,3961,3610,50,0.0078125,0.4956418573856354,1
resnet50,PAAD,patient,2,5620,1951,50,0.0078125,0.338353157043457,1
resnet50,PAAD,random_spot,0,5561,2010,50,0.0078125,0.6985722184181213,3
resnet50,PAAD,random_spot,1,3961,3610,50,0.0078125,0.6881795525550842,3
resnet50,PAAD,random_spot,2,5620,1951,50,0.0078125,0.7071852087974548,3
resnet50,PAAD,leave_one_sample,0,5561,2010,50,0.0078125,0.3299010396003723,1
resnet50,PAAD,leave_one_sample,1,5620,1951,50,0.0078125,0.338353157043457,1
resnet50,PAAD,leave_one_sample,2,3961,3610,50,0.0078125,0.4956418573856354,1
resnet50,PRAD,patient,0,36819,25891,50,0.0078125,0.3357120156288147,8
resnet50,PRAD,patient,1,25891,36819,50,0.0078125,0.272938996553421,15
resnet50,PRAD,random_spot,0,36819,25891,50,0.0078125,0.5186334848403931,23
resnet50,PRAD,random_spot,1,25891,36819,50,0.0078125,0.5154070258140564,23
resnet50,PRAD,leave_one_sample,0,58961,3749,50,0.0078125,0.1277534365653991,1
resnet50,PRAD,leave_one_sample,1,60775,1935,50,0.0078125,0.4377220869064331,1
resnet50,PRAD,leave_one_sample,2,60916,1794,50,0.0078125,0.4221062362194061,1
resnet50,PRAD,leave_one_sample,3,59713,2997,50,0.0078125,0.3007648885250091,1
resnet50,PRAD,leave_one_sample,4,58894,3816,50,0.0078125,0.2195456624031067,1
resnet50,PRAD,leave_one_sample,5,58636,4074,50,0.0078125,0.0968960970640182,1
resnet50,PRAD,leave_one_sample,6,61292,1418,50,0.0078125,0.3508946299552917,1
resnet50,PRAD,leave_one_sample,7,60746,1964,50,0.0078125,0.1978242993354797,1
resnet50,PRAD,leave_one_sample,8,60375,2335,50,0.0078125,0.216970220208168,1
resnet50,PRAD,leave_one_sample,9,61077,1633,50,0.0078125,0.2030405849218368,1
resnet50,PRAD,leave_one_sample,10,60859,1851,50,0.0078125,0.3614829182624817,1
resnet50,PRAD,leave_one_sample,11,60959,1751,50,0.0078125,0.518776535987854,1
resnet50,PRAD,leave_one_sample,12,60110,2600,50,0.0078125,0.3789391219615936,1
resnet50,PRAD,leave_one_sample,13,59628,3082,50,0.0078125,0.2076480835676193,1
resnet50,PRAD,leave_one_sample,14,60890,1820,50,0.0078125,0.3633024990558624,1
resnet50,PRAD,leave_one_sample,15,59974,2736,50,0.0078125,0.556861162185669,1
resnet50,PRAD,leave_one_sample,16,59156,3554,50,0.0078125,0.3368276953697204,1
resnet50,PRAD,leave_one_sample,17,59520,3190,50,0.0078125,0.4513160586357116,1
resnet50,PRAD,leave_one_sample,18,59618,3092,50,0.0078125,0.2940189242362976,1
resnet50,PRAD,leave_one_sample,19,58854,3856,50,0.0078125,-0.0228772442787885,1
resnet50,PRAD,leave_one_sample,20,58631,4079,50,0.0078125,0.3155631422996521,1
resnet50,PRAD,leave_one_sample,21,59935,2775,50,0.0078125,0.4585828781127929,1
resnet50,PRAD,leave_one_sample,22,60101,2609,50,0.0078125,0.0880050286650657,1
resnet50,READ,patient,0,3819,4588,50,0.0078125,0.1342505514621734,2
resnet50,READ,patient,1,4588,3819,50,0.0078125,0.0223908256739377,2
resnet50,READ,random_spot,0,3819,4588,50,0.0078125,0.4283789396286011,4
resnet50,READ,random_spot,1,4588,3819,50,0.0078125,0.4363837540149688,4
resnet50,READ,leave_one_sample,0,6716,1691,50,0.0078125,0.2401237040758133,1
resnet50,READ,leave_one_sample,1,6279,2128,50,0.0078125,0.0974265560507774,1
resnet50,READ,leave_one_sample,2,6022,2385,50,0.0078125,0.2319692820310592,1
resnet50,READ,leave_one_sample,3,6204,2203,50,0.0078125,0.2468739449977874,1
resnet50,SKCM,patient,0,1741,1293,50,0.0078125,0.5966987609863281,1
resnet50,SKCM,patient,1,1293,1741,50,0.0078125,0.3676671683788299,1
resnet50,SKCM,random_spot,0,1741,1293,50,0.0078125,0.7739344239234924,2
resnet50,SKCM,random_spot,1,1293,1741,50,0.0078125,0.7661377787590027,2
