encoder,task,leave_one_sample,patient,random_spot,leak_gap,leak_ratio
hoptimus0,CCRCC,0.19588717950197554,0.2676667968432108,0.6524517436822256,0.38478494683901476,2.4375520287800483
hoptimus0,COAD,0.530547633767128,0.3086720257997513,0.748566210269928,0.4398941844701767,2.425118403037776
hoptimus0,HCC,0.07922142744064326,0.07922142744064326,0.3756485879421234,0.29642716050148016,4.741754851912742
hoptimus0,IDC,0.597598172724247,0.597598172724247,0.8163255006074905,0.21872732788324356,1.3660107039587153
hoptimus0,LUNG,0.5590169727802277,0.5590169727802277,0.8115339875221252,0.2525170147418976,1.4517161858002696
hoptimus0,LYMPH_IDC,0.25913592800498003,0.25913592800498003,0.6869327872991562,0.42779685929417616,2.650858924069976
hoptimus0,PAAD,0.4911479453245799,0.4911479453245799,0.7627339760462443,0.2715860307216644,1.5529617568534957
hoptimus0,PRAD,0.36233840550741425,0.3847115486860275,0.5892462134361267,0.20453466475009918,1.5316571999168782
hoptimus0,READ,0.3386901915073395,0.221642754971981,0.5245501101016998,0.30290735512971884,2.3666467697895692
hoptimus0,SKCM,0.645471453666687,0.645471453666687,0.8486693501472473,0.2031978964805603,1.3148053958486738
phikon,CCRCC,0.1827998626977205,0.2422200764218966,0.644598921140035,0.40237884471813845,2.66121178170747
phikon,COAD,0.49892933666706085,0.2624286562204361,0.7355851233005524,0.47315646708011627,2.8029908543321276
phikon,HCC,0.06028057821094985,0.06028057821094985,0.35202373564243317,0.2917431574314833,5.83975379948311
phikon,IDC,0.5326789394021034,0.5326789394021034,0.7938045561313629,0.2611256167292595,1.490212015932816
phikon,LUNG,0.5465819239616394,0.5465819239616394,0.798273354768753,0.25169143080711365,1.4604825366028351
phikon,LYMPH_IDC,0.23730817437171936,0.23730817437171936,0.6798447221517563,0.4425365477800369,2.8648179690887847
phikon,PAAD,0.4424251616001129,0.4424251616001129,0.7508822282155355,0.3084570666154226,1.697196030849218
phikon,PRAD,0.3408295304069053,0.3422155827283859,0.5726668834686279,0.230451300740242,1.6734097229089349
phikon,READ,0.2872236482799053,0.1531399562954902,0.5066748857498169,0.3535349294543267,3.3085740521707194
phikon,SKCM,0.5354254096746445,0.5354254096746445,0.8223969638347626,0.2869715541601181,1.5359692479564961
resnet50,CCRCC,0.16272140040139974,0.22517152130603788,0.5727081000804901,0.3475365787744522,2.5434304336475306
resnet50,COAD,0.4328260272741318,0.25002836436033243,0.6770914494991302,0.4270630851387978,2.7080585486026254
resnet50,HCC,0.0604327274486422,0.0604327274486422,0.33066366612911224,0.27023093868047005,5.4715992491009375
resnet50,IDC,0.47389160841703415,0.47389160841703415,0.7316648811101913,0.2577732726931572,1.5439498571291677
resnet50,LUNG,0.494919553399086,0.494919553399086,0.7403698861598969,0.24545033276081085,1.4959398574476774
resnet50,LYMPH_IDC,0.2305133044719696,0.2305133044719696,0.6289575546979904,0.3984442502260208,2.7285086912389978
resnet50,PAAD,0.3879653513431549,0.3879653513431549,0.6979789932568868,0.31001364191373193,1.7990755897155497
resnet50,PRAD,0.29921586722459476,0.30432550609111786,0.5170202553272247,0.21269474923610687,1.6989054317794319
resnet50,READ,0.2040983717888593,0.07832068856805555,0.432381346821785,0.35406065825372945,5.5206530321305065
resnet50,SKCM,0.48218296468257904,0.48218296468257904,0.7700361013412476,0.2878531366586685,1.5969790675789681
uni_v1,CCRCC,0.1889296461983273,0.2399803499380747,0.6386027137438456,0.3986223638057709,2.6610625157794487
uni_v1,COAD,0.5049593523144722,0.26157982647418976,0.73701012134552,0.47543029487133026,2.8175342543789066
uni_v1,HCC,0.0784907191991806,0.0784907191991806,0.36172275245189667,0.28323203325271606,4.608477997685016
uni_v1,IDC,0.5735109969973564,0.5735109969973564,0.7997634410858154,0.22625244408845901,1.3945041076335314
uni_v1,LUNG,0.546458512544632,0.546458512544632,0.8020835816860199,0.25562506914138794,1.467784952147689
uni_v1,LYMPH_IDC,0.2558356635272503,0.2558356635272503,0.6775555312633514,0.42171986773610115,2.648401407066461
uni_v1,PAAD,0.48066431283950806,0.48066431283950806,0.7515079379081726,0.27084362506866455,1.563477707485012
uni_v1,PRAD,0.34456550394711283,0.2943695709109306,0.563453882932663,0.2690843120217324,1.9141036934933437
uni_v1,READ,0.3059292733669281,0.18355501443147654,0.5101923048496246,0.3266372904181481,2.7795062228609724
uni_v1,SKCM,0.6345488727092743,0.6345488727092743,0.8361910581588745,0.20164218544960022,1.3177725059831362
