encoder,task,n_spots,n_slides,chance,acc_random,acc_block,drop,test_frac_random,test_frac_block,nn_dist_random,nn_dist_block,nn_dist_ratio,slides_in_block_test
gigapath,CCRCC,74220,24,0.041666666666666664,0.9939185403839331,0.9825266571604203,0.011391883223512811,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
gigapath,COAD,15651,4,0.25,0.9978708046465179,0.9970231678863747,0.0008476367601432111,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
gigapath,HCC,4196,2,0.5,1.0,0.9944927042525408,0.005507295747459229,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
gigapath,IDC,35536,4,0.25,0.9988870101106411,0.9922698015924613,0.006617208518179818,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
gigapath,LUNG,5206,2,0.5,1.0,0.9983818770226538,0.0016181229773462036,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
gigapath,LYMPH_IDC,19964,4,0.25,0.9828072902907977,0.9639637118192591,0.018843578471538613,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
gigapath,PAAD,7571,3,0.3333333333333333,0.9976939779518972,0.9981322496947497,-0.0004382717428524918,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
gigapath,PRAD,62710,23,0.043478260869565216,0.9687591352772784,0.9439239335669319,0.024835201710346477,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
gigapath,READ,8407,4,0.25,0.9855311167683569,0.9733138594751461,0.01221725729321077,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
gigapath,SKCM,3034,2,0.5,1.0,0.9930591833545419,0.006940816645458092,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
virchow,CCRCC,74220,24,0.041666666666666664,0.9944303850218142,0.9851001164159968,0.009330268605817427,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
virchow,COAD,15651,4,0.25,0.9990683413090607,0.9977302672613899,0.0013380740476708342,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
virchow,HCC,4196,2,0.5,0.999261447562777,0.9969198887185602,0.002341558844216829,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
virchow,IDC,35536,4,0.25,0.9999197174052665,0.9967600563532284,0.003159661052038132,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
virchow,LUNG,5206,2,0.5,1.0,1.0,0.0,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
virchow,LYMPH_IDC,19964,4,0.25,0.9811366135239142,0.9590046240808769,0.022131989443037292,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
virchow,PAAD,7571,3,0.3333333333333333,1.0,0.9968822226502311,0.0031177773497689243,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
virchow,PRAD,62710,23,0.043478260869565216,0.9790479044347447,0.9500710898977942,0.028976814536950446,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
virchow,READ,8407,4,0.25,0.9938218116639956,0.9874620854004055,0.00635972626359016,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
virchow,SKCM,3034,2,0.5,1.0,0.9849664010001562,0.0150335989998438,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
