encoder,task,held_slide,n_slides,m_test,n_train,n_genes,pearson_cross,pearson_within,site_shift,test_slides_in_train
phikon,CCRCC,INT1,24,1084,73136,50,0.10940787196159363,0.643593966960907,0.5341860949993134,24
phikon,CCRCC,INT10,24,1983,72237,50,0.46972543001174927,0.6324604153633118,0.1627349853515625,24
phikon,CCRCC,INT11,24,1439,72781,50,0.09625741094350815,0.6464775800704956,0.5502201691269875,24
phikon,CCRCC,INT12,24,1451,72769,50,0.11696995794773102,0.6534826755523682,0.5365127176046371,24
phikon,CCRCC,INT13,24,4359,69861,50,0.1753658652305603,0.6362123489379883,0.460846483707428,24
phikon,CCRCC,INT14,24,4562,69658,50,0.07412015646696091,0.6475148797035217,0.5733947232365608,24
phikon,CCRCC,INT15,24,4940,69280,50,0.13064312934875488,0.6452964544296265,0.5146533250808716,24
phikon,CCRCC,INT16,24,3206,71014,50,0.09834128618240356,0.6386162042617798,0.5402749180793762,24
phikon,CCRCC,INT17,24,3585,70635,50,0.10710744559764862,0.6506670117378235,0.5435595661401749,24
phikon,CCRCC,INT18,24,4915,69305,50,0.2782263457775116,0.6449111104011536,0.36668476462364197,24
phikon,CCRCC,INT19,24,4948,69272,50,0.11513635516166687,0.6472088694572449,0.532072514295578,24
phikon,CCRCC,INT2,24,2580,71640,50,0.24702094495296478,0.648739218711853,0.40171827375888824,24
phikon,CCRCC,INT20,24,4860,69360,50,0.1250726729631424,0.649364709854126,0.5242920368909836,24
phikon,CCRCC,INT21,24,4975,69245,50,0.2286798655986786,0.6529571413993835,0.42427727580070496,24
phikon,CCRCC,INT22,24,3829,70391,50,0.12170566618442535,0.6477093696594238,0.5260037034749985,24
phikon,CCRCC,INT23,24,4755,69465,50,0.09050356596708298,0.6420378088951111,0.5515342429280281,24
phikon,CCRCC,INT24,24,4510,69710,50,0.2893620729446411,0.6395478248596191,0.350185751914978,24
phikon,CCRCC,INT3,24,2007,72213,50,0.19409000873565674,0.649384081363678,0.45529407262802124,24
phikon,CCRCC,INT4,24,1349,72871,50,0.2049722820520401,0.6478903293609619,0.4429180473089218,24
phikon,CCRCC,INT5,24,1186,73034,50,0.4956377446651459,0.6561417579650879,0.16050401329994202,24
phikon,CCRCC,INT6,24,1678,72542,50,0.2389277219772339,0.6486055254936218,0.40967780351638794,24
phikon,CCRCC,INT7,24,2374,71846,50,-0.03420255333185196,0.6379503607749939,0.6721529141068459,24
phikon,CCRCC,INT8,24,1949,72271,50,0.10046502202749252,0.6403533816337585,0.539888359606266,24
phikon,CCRCC,INT9,24,1696,72524,50,0.31370002031326294,0.6330673694610596,0.31936734914779663,24
phikon,COAD,TENX111,4,5079,10572,50,0.2640681862831116,0.739586591720581,0.4755184054374695,4
phikon,COAD,TENX147,4,3417,12234,50,0.5888159275054932,0.7479751706123352,0.15915924310684204,4
phikon,COAD,TENX148,4,3535,12116,50,0.5350214242935181,0.7416141033172607,0.20659267902374268,4
phikon,COAD,TENX149,4,3620,12031,50,0.6077502965927124,0.7326434254646301,0.12489312887191772,4
phikon,IDC,NCBI783,4,3005,32531,50,0.6434661149978638,0.7951359748840332,0.15166985988616943,4
phikon,IDC,NCBI785,4,4010,31526,50,0.49749529361724854,0.8010544776916504,0.30355918407440186,4
phikon,IDC,TENX95,4,7760,27776,50,0.5870072841644287,0.79245924949646,0.20545196533203125,4
phikon,IDC,TENX99,4,20761,14775,50,0.4027528762817383,0.7927789092063904,0.3900260329246521,4
phikon,LYMPH_IDC,NCBI681,4,4992,14972,50,0.21415752172470093,0.6759465932846069,0.461789071559906,4
phikon,LYMPH_IDC,NCBI682,4,4988,14976,50,0.22543735802173615,0.6761247515678406,0.45068739354610443,4
phikon,LYMPH_IDC,NCBI683,4,4992,14972,50,0.19547264277935028,0.681611955165863,0.48613931238651276,4
phikon,LYMPH_IDC,NCBI684,4,4992,14972,50,0.3141818344593048,0.679867148399353,0.3656853139400482,4
phikon,PAAD,TENX116,3,2010,5561,50,0.370444118976593,0.7596279978752136,0.3891838788986206,3
phikon,PAAD,TENX126,3,1951,5620,50,0.4202927052974701,0.7542709112167358,0.33397820591926575,3
phikon,PAAD,TENX140,3,3610,3961,50,0.5365809798240662,0.7540980577468872,0.21751707792282104,3
phikon,PRAD,MEND139,23,3749,58961,50,0.19359071552753448,0.5727541446685791,0.3791634291410446,23
phikon,PRAD,MEND140,23,1935,60775,50,0.513029932975769,0.5619022846221924,0.04887235164642334,23
phikon,PRAD,MEND141,23,1794,60916,50,0.4598824977874756,0.5850071907043457,0.12512469291687012,23
phikon,PRAD,MEND142,23,2997,59713,50,0.32626667618751526,0.5698771476745605,0.2436104714870453,23
phikon,PRAD,MEND143,23,3816,58894,50,0.27537640929222107,0.5769860744476318,0.30160966515541077,23
phikon,PRAD,MEND144,23,4074,58636,50,0.17626260221004486,0.5597902536392212,0.38352765142917633,23
phikon,PRAD,MEND145,23,1418,61292,50,0.44425708055496216,0.5711954236030579,0.1269383430480957,23
