sample_id,n_nuclei_total,n_nuclei_neoplastic,n_spots,n_spots_with_neoplastic,spot_pitch_px,radius_px,frac_nuclei_assigned,pearson_raw,p_raw,pearson_log1p,p_log,matches_fig3a,matches_appendix6a
NCBI783,119826,32381,3869,2038,365.0169826642268,182.5084913321134,0.718847472283129,0.13325450066066666,1.551413411241466e-09,0.2843452934430761,3.2925198513553004e-39,False,False
NCBI785,178322,76786,4180,1980,274.79261728011625,137.39630864005812,0.6059828614591202,0.457790904418595,3.7829790811033186e-103,0.4248318100206314,1.361078293480021e-87,False,False
TENX95,497508,182894,11845,5187,470.5882352941153,235.29411764705765,0.7879591457346878,0.012103756038608202,0.38345698202497935,0.07727328573863014,2.5143007106193475e-08,False,False
TENX99,710379,243108,25080,11866,470.58823529411166,235.29411764705583,0.782125639633414,-0.0480005806370442,1.683913819845146e-07,-0.025203323799382248,0.00604050631396756,False,False
