encoder,arm,task,held_out,n_train,n_test,n_genes,pearson,train_sources,note
phikon,within_task_leave_cohort_out,IDC,NCBI,28521.0,7015.0,50,0.4957640469074249,TENX,"same tissue, same 541-gene Xenium panel; differs only by institution"
phikon,within_task_leave_cohort_out,IDC,TENX,7015.0,28521.0,50,0.3438604474067688,NCBI,"same tissue, same 541-gene Xenium panel; differs only by institution"
phikon,across_task_xenium,ALL_XENIUM,,,,0,,,INFEASIBLE: only 0 genes shared across the five Xenium panels (need >= 10); a score on so few genes is not comparable to the 50-gene benchmark numbers
