encoder,raw_ridge,pca_ridge,rank_raw,rank_pca,rank_shift,width
conch_v1,0.3227,0.3378,1.0,9.0,8.0,512
conch_v15,0.3176,0.3481,2.0,8.0,6.0,768
ctranspath,0.2702,0.3174,4.0,11.0,7.0,768
gigapath,0.2403,0.3558,11.0,6.0,-5.0,1536
hoptimus0,0.2499,0.3814,9.0,2.0,-7.0,1536
hoptimus1,0.259,0.3891,7.0,1.0,-6.0,1536
phikon,0.2715,0.3355,3.0,10.0,7.0,768
resnet50,0.2598,0.2988,6.0,12.0,6.0,1024
uni_v1,0.2699,0.3549,5.0,7.0,2.0,1024
uni_v2,0.2503,0.3803,8.0,3.0,-5.0,1536
virchow,0.2421,0.3738,10.0,4.0,-6.0,2560
virchow2,0.2389,0.3724,12.0,5.0,-7.0,2560
