convention,n,hoptimus1_raw_rank,hoptimus1_pca_rank,spearman_width_raw,p_raw,spearman_width_pca,p_pca
"9 paper tasks, HCC excluded",12,6,1,-0.932,1.0e-05,0.727,0.007
"all 10 tasks, HCC included",12,7,1,-0.95,2.3e-06,0.727,0.007
